,name,price,link,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành,Kích thước,Trọng lượng sản phẩm,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Tần số quét,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Danh bạ lưu trữ,Thẻ nhớ ngoài,Hỗ trợ thẻ nhớ tối đa,Camera 1,Resolution,Resolution camera 1,Cảm biến,Bảo mật,Tính năng đặc biệt,Số khe SIM,Thẻ SIM,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Loại PIN,Dung lượng pin,Củ sạc kèm máy,OS,Version,Phụ kiện trong hộp,Chuẩn kháng nước / Bụi bẩn,Tỷ lệ diện tích sử dụng màn hình,CPU,Mật độ điểm ảnh,Bộ nhớ còn lại,Quay phim camera sau,Tính năng,Quay phim camera selfie,Loại RAM,Chất liệu mặt kính,Độ phủ màu,Độ tương phản,Số camera sau,Aperture,Camera 2,Số Camera Selfie,Thông tin thêm,Màu màn hình,Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước màn hình phụ,Camera 3,Resolution camera 2,Tỷ lệ màn hình,Pixel size,Thông báo LED,Camera 4,Độ sáng tối đa,Khẩu độ,Camera Selfie 1,Quay phim camera seflie,Resolution camera 3,Sensor,Làm mát,Pixel Size
29,Xiaomi Redmi A7 Pro 4GB 128GB,4.290.000đ,/dien-thoai/xiaomi-redmi-a7-pro,Trung Quốc,04/2026,18 tháng,171.56 x 79.47 x 8.15 mm,208 g,Khung máy: Nhựa,Unisoc T7250,Octa-Core,8,,4 GB,6.9 inch,LCD,FHD+,720 x 1600 Pixels,120,Điện dung đa điểm,650 nits,,128 GB,,MicroSD,,Wide,13.0 MP,8.0 MP,Cảm biến vân tay,Mở khóa vân tay cạnh bênMở khóa bằng khuôn mặt AI,Ghi âm cuộc gọi,2,2 Nano SIM,4G,Cổng sạc: Type C,,GPSGLONASSGALILEOBDS,v5.4,OTG,Lithium polymer,6000 mAh,Sạc nhanh 15 W,Android,Android 14 (Hyper OS),Bộ cáp sạcỐp lưngQue lấy SIMSách HDSD,,,,254 ppi,,1080p@30fps720p@30fps,Xóa phôngTrôi nhanh thời gian (Time lapse)Ban đêm (Night Mode)HDR,1080p@30fps,LPDDR4X + UFS 2.2,Corning Gorilla Glass,,,Single rear camera,ƒ/2.0,,Single selfie camera,Sạc pin nhanh,,,,,,,,,,,,,,,,,,
30,Honor X6c 6GB 128GB,4.190.000đ,/dien-thoai/honor-x6c,Trung Quốc,07/2025,18 tháng,164 x 75.6 x 8.4 mm,199 g,Khung máy: Kim loạiMặt lưng máy: Nhựa,MediaTek Helio G81 Ultra,Octa-Core,8,,6 GB,6.61 inch,TFT LCD,HD,720 x 1604 Pixels,120 Hz,,1010 nits,Mali-G52,128 GB,,MicroSD,,Wide,0.08 MP,5.0 MP,Cảm biến trọng lựcHai cảm biến ánh sáng môi trường xung quanhCảm biến tiệm cận,Mở khóa vân tay,,2,2 Nano SIM,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac,GALILEOGLONASSA-GPSGPS,v5.1,NFCOTG,Lithium polymer,5300 mAh,Sạc nhanh 35 W,Android,Android 15 (MagicOS 9),Dây cáp sạcCủ sạcỐp lưngSách HDSD,IP64,85%,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.7 GHz,265 ppi,Khoảng 113 GB,1080p@30fps1080p@60fps,Làm đẹp (Beautify)Chế độ chân dungXóa phôngNhãn dán (AR Stickers),1080p@30fps1080p@60fps,,Kính cường lực,,,Double rear camera,ƒ/2.2,Ống kính phụ trợ,Single selfie camera,,16.7 Triệu,,,,,,,,,,,,,,,,,
31,Nubia A76 4GB 128GB (NFC),2.490.000đ,/dien-thoai/nubia-a76,Trung Quốc,05/2025,18 tháng,167.3 x 77.37 x 8.3 mm,197 g,Khung viền: NhựaMặt lưng máy: Nhựa,Unisoc T7250,Octa-Core,8,1.8 GHz,4 GB,6.75 inch,IPS LCD,HD+,720 x 1600 Pixels,90 Hz,Điện dung đa điểm,500 nits,ARM Mali G57,128 GB,Không giới hạn,MicroSD,1 TB,Standard,0.08 MP,8.0 MP,Cảm biến la bànCảm biến gia tốcCảm biến tiệm cậnCảm biến ánh sáng,Mật khẩuMở khóa khuôn mặtMở khóa vân tay,Live Island,2,2 Nano SIM,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,GPSA-GPSGALILEOGLONASS,v5.2,NFC,Lithium polymer,5000 mAh,Sạc nhanh 22.5 W,Android,Android 15,SạcDây cáp sạcỐp lưngQue lấy SIMSách HDSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Xiaomi Poco M7 Pro 5G 8GB 256GB,5.990.000đ,/dien-thoai/xiaomi-poco-m7-pro,Trung Quốc,04/2025,18 tháng,162.4 x 75.7 x 7.99 mm,190 g,Khung máy: NhựaMặt lưng máy: Nhựa cao cấp,MediaTek Dimensity 7025-Ultra,Octa-Core,8,2.5 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,120 Hz,,2100 nits,IMG BXM-8-256,256 GB,,MicroSD,1 TB,Wide,2.0 MP,20.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến la bànCon quay hồi chuyển,Mở khóa vân tay dưới màn hìnhMở khóa khuôn mặt,Google GeminiXóa AIAI SkyLàm đẹp AI,2,2 Nano SIM,5G,Cổng sạc: Type C,,GPSGLONASSGALILEOBDS,v5.3,NFCOTG,Lithium polymer,5110 mAh,Sạc nhanh 45 W,Android,Android 14 (Hyper OS),SạcCáp USB Type CQue lấy SIMỐp lưngSách HDSD,IP64,,,,,1080p@30fps720p@30fps,HDRToàn cảnh,1080p@30/60fps720p@30fps,LPDDR4X,Gorilla Glass 5,100% DCI-P3,5.000.000 : 1,Double rear camera,ƒ/2.2,Depth,Single selfie camera,Sạc pin nhanh,,,,,,,,,,,,,,,,,,
33,Samsung Galaxy A56 5G 8GB 128GB,9.310.000đ,/dien-thoai/samsung-galaxy-a56,Việt Nam / Trung Quốc,03/2025,12 tháng,162.2 x 77.5 x 7.4 mm,198 g,Mặt lưng máy: KínhViền máy: Kim loại,Exynos 1580,,8,,8 GB,6.7 inch,,FHD+,1080 x 2340 Pixels,120 Hz,,1200 nits,AMD Ariel 2WGP-1RB 1.3GHz,128 GB,,Không,,,5.0 MP,12.0 MP,,Mở khóa vân tayMẫu hìnhPINMật khẩuMở khóa khuôn mặt,Chạm 2 lần sáng màn hình,2,,2G3G5G4G,Type C,802.11 a/b/g/n/ac/axHE80MIMO1024-QAMWi-Fi DirectDual-band (2.4 GHz/ 5 GHz),GPSGLONASSGALILEOBEIDOUQZSS,v5.3,NFC,Pin Li-ion,5000 mAh,,Android,Android 15,Que lấy SIMCáp Type CSách HDSD,IP67,,,,,,HDRNhãn dán (AR Stickers)Làm đẹp (Beautify),,,,,,Triple rear camera,,,Single selfie camera,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,Có,,,,,,,,,
34,Nubia V70 Design 8GB 128GB,3.090.000đ,/dien-thoai/nubia-v70-design,Trung Quốc,11/2024,18 tháng,165.8 x 77.1 x 8.2 mm,206 g,Khung máy: Nhựa cao cấpMặt lưng máy: Kính cường lựcMặt lưng máy: Polymer Silicon,Unisoc T606,Octa-Core,8,1.6 GHz,8 GB,6.7 inch,IPS LCD,HD+,720 x 1600 Pixels,120 Hz,Điện dung đa điểm,,Mali-G57 MP1,128 GB,Không giới hạn,MicroSD,,Wide,2.0 MP,16.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến tiệm cậnCảm biến ánh sáng,Mật khẩuMở khoá vân tay cạnh viền,,2,2 Nano SIM,4G,Cổng sạc: Type C,802.11 b/g/n/ac,GPSGALILEOGLONASS,v5.2,NFC,Lithium polymer,5000 mAh,Sạc nhanh 22.5 W,Android,Android 14,Cáp USB Type CSạcỐp lưngSách HDSDQue lấy SIM,,,,264 ppi,,1080p@30fps,HDRFlash LEDToàn cảnh (Panorama),Quay phim HD,,,,,,ƒ/1.8,Ống kính phụ trợ,,,,,,,,,,,,,,,,,,,,
35,OPPO A5i 6GB 128GB,4.490.000đ,/dien-thoai/oppo-a5i-6gb,Trung Quốc,07/2025,12 tháng,165.7 x 76 x 7.68 mm,186 g,Mặt lưng máy: Thủy tinh hữu cơKhung viền: Nhựa,Snapdragon 6s 4G Gen1,Octa-Core,8,2.1 GHz,6 GB,6.67 inch,LCD,HD+,720 x 1604 Pixels,90 Hz,,1000 nits,Adreno 610,128 GB,,,1 TB,,8.0 MP,5.0 MP,Cảm biến tiệm cậnCảm biến ánh sángCảm biến gia tốcCảm biến la bàn,Mở khoá vân tay cạnh viền,,2,"1 Nano Sim, 1 Thẻ nhớ",4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac,BEIDOUGALILEOGLONASSGPSQZSS,v5.0,OTG,Lithium polymer,5100 mAh,SuperVOOC 45W,Android,Android 14 (ColorOS 14),Que lấy SIMDây cáp sạcCủ sạcSách HDSDVỏ bảo vệMiếng dán màn hình (Đã dán sẵn),IPX4,,,264 ppi,,,,,,Kính cường lực Panda,,,Single rear camera,ƒ/2.2,,Single selfie camera,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
36,Honor X6c 6GB 128GB,4.190.000đ,/dien-thoai/honor-x6c,Trung Quốc,07/2025,18 tháng,164 x 75.6 x 8.4 mm,199 g,Khung máy: Kim loạiMặt lưng máy: Nhựa,MediaTek Helio G81 Ultra,Octa-Core,8,,6 GB,6.61 inch,TFT LCD,HD,720 x 1604 Pixels,120 Hz,,1010 nits,Mali-G52,128 GB,,MicroSD,,Wide,0.08 MP,5.0 MP,Cảm biến trọng lựcHai cảm biến ánh sáng môi trường xung quanhCảm biến tiệm cận,Mở khóa vân tay,,2,2 Nano SIM,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac,GALILEOGLONASSA-GPSGPS,v5.1,NFCOTG,Lithium polymer,5300 mAh,Sạc nhanh 35 W,Android,Android 15 (MagicOS 9),Dây cáp sạcCủ sạcỐp lưngSách HDSD,IP64,85%,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.7 GHz,265 ppi,Khoảng 113 GB,1080p@30fps1080p@60fps,Làm đẹp (Beautify)Chế độ chân dungXóa phôngNhãn dán (AR Stickers),1080p@30fps1080p@60fps,,Kính cường lực,,,Double rear camera,ƒ/2.2,Ống kính phụ trợ,Single selfie camera,,16.7 Triệu,,,,,,,,,,,,,,,,,
37,OPPO A5i Pro 8GB 128GB,6.090.000đ,/dien-thoai/oppo-a5i-pro,Trung Quốc,09/2025,12 tháng,165.71 x 76.24 x 7.99 mm,193 g,Mặt lưng máy: Thủy tinh hữu cơKhung viền: Nhựa,Snapdragon 6s 4G Gen1,Octa-Core,8,2.1 GHz,8 GB,6.67 inch,LCD,HD+,720 x 1604 Pixels,90 Hz,,1000 nits,Adreno 610,128 GB,,,1 TB,,2.0 MP,5.0 MP,Cảm biến tiệm cậnCảm biến ánh sángCảm biến gia tốcCảm biến la bàn,Mở khoá vân tay cạnh viền,,2,"2 Nano Sim Hoặc 1 Sim, 1 thẻ nhớ",4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac,BEIDOUGALILEOGLONASSGPSQZSS,v5.0,OTGNFC,Lithium polymer,6000 mAh,SuperVOOC 45W,Android,Android 15 (ColorOS 15),Que lấy SIMDây cáp sạcCủ sạcSách HDSDVỏ bảo vệMiếng dán màn hình (Đã dán sẵn),IP65,,,,,,,,,Kính cường lực,,,Double rear camera,ƒ/2.2,,,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
38,Samsung Galaxy A56 5G 8GB 128GB,9.310.000đ,/dien-thoai/samsung-galaxy-a56,Việt Nam / Trung Quốc,03/2025,12 tháng,162.2 x 77.5 x 7.4 mm,198 g,Mặt lưng máy: KínhViền máy: Kim loại,Exynos 1580,,8,,8 GB,6.7 inch,,FHD+,1080 x 2340 Pixels,120 Hz,,1200 nits,AMD Ariel 2WGP-1RB 1.3GHz,128 GB,,Không,,,5.0 MP,12.0 MP,,Mở khóa vân tayMẫu hìnhPINMật khẩuMở khóa khuôn mặt,Chạm 2 lần sáng màn hình,2,,2G3G5G4G,Type C,802.11 a/b/g/n/ac/axHE80MIMO1024-QAMWi-Fi DirectDual-band (2.4 GHz/ 5 GHz),GPSGLONASSGALILEOBEIDOUQZSS,v5.3,NFC,Pin Li-ion,5000 mAh,,Android,Android 15,Que lấy SIMCáp Type CSách HDSD,IP67,,,,,,HDRNhãn dán (AR Stickers)Làm đẹp (Beautify),,,,,,Triple rear camera,,,Single selfie camera,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,Có,,,,,,,,,
39,Nubia V70 Design 8GB 128GB,3.090.000đ,/dien-thoai/nubia-v70-design,Trung Quốc,11/2024,18 tháng,165.8 x 77.1 x 8.2 mm,206 g,Khung máy: Nhựa cao cấpMặt lưng máy: Kính cường lựcMặt lưng máy: Polymer Silicon,Unisoc T606,Octa-Core,8,1.6 GHz,8 GB,6.7 inch,IPS LCD,HD+,720 x 1600 Pixels,120 Hz,Điện dung đa điểm,,Mali-G57 MP1,128 GB,Không giới hạn,MicroSD,,Wide,2.0 MP,16.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến tiệm cậnCảm biến ánh sáng,Mật khẩuMở khoá vân tay cạnh viền,,2,2 Nano SIM,4G,Cổng sạc: Type C,802.11 b/g/n/ac,GPSGALILEOGLONASS,v5.2,NFC,Lithium polymer,5000 mAh,Sạc nhanh 22.5 W,Android,Android 14,Cáp USB Type CSạcỐp lưngSách HDSDQue lấy SIM,,,,264 ppi,,1080p@30fps,HDRFlash LEDToàn cảnh (Panorama),Quay phim HD,,,,,,ƒ/1.8,Ống kính phụ trợ,,,,,,,,,,,,,,,,,,,,
40,Viettel Sumo T2 4G,499.000đ,/dien-thoai/viettel-sumo-t2-4g,Trung Quốc,09/2024,12 tháng,131.2x54x12mm,120 g,Mặt lưng máy: Nhựa,Đang cập nhật,,,,Đang cập nhật,2.4 inch,TFT LCD,QQVGA,160 x 128 Pixels,,,,,128 MB,Không giới hạn,MicroSD,,,,,,,Ghi âm cuộc gọi,2,2 Nano SIM,4G,Đang cập nhật,,,v5.0,Jack 3.5 mm,Đang cập nhật,1400 mAh,,Không,Không,Pin rờiSạcSách HDSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,iPhone 14 128GB,13.990.000đ,/dien-thoai/iphone-14,Trung Quốc,09/2022,12 tháng,146.7 x 71.5 x 7.8 mm,172 g,,Apple A15 Bionic,,6,3.22 GHz,6 GB,6.1 inch,OLED,Super Retina XDR,12.0 MP,60 Hz,Điện dung đa điểm,,Apple GPU 5 nhân,128 GB,,Không,,Wide,,,Cảm biến tiệm cận,Mở khóa khuôn mặtMở khóa bằng mật mã,,1,"1 eSIM, 1 Nano SIM",5G,1 Lightning,,BEIDOUGALILEOGLONASSGPSQZSS,,,Lithium-ion,3279 mAh,,iOS,iOS 16,CápSách HDSDQue lấy SIM,IP68,,,,,4K 4230p@30fpsFullHD 1080p@25fps4K 4320p@24fpsFullHD 1080p@30fps4K 4230p@60fpsHD 720p@30fpsFullHD 1080p@60fps,,,,,,,Double rear camera,,Ultra Wide,Single selfie camera,,,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,1200 nits,,12.0 MP,,,,,
42,Samsung Galaxy A07 5G 4GB 128GB,4.390.000đ,/dien-thoai/samsung-galaxy-a07-5g,Việt Nam / Trung Quốc,01/2026,12 tháng,176 x 86 X 27.5 mm,275 g,Đang cập nhật,Media Tek Dimensity 6300,Octa-Core,8,,4 GB,6.74 inch,PLS LCD,HD+,720 x 1600 Pixels,120,,800 nits,Mali-G57,128 GB,,,,,2.0 MP,8.0 MP,,Mở khóa vân tayMẫu hìnhPINMật khẩuMở khóa khuôn mặt,Google GeminiSmart Switch (ứng dụng chuyển đổi dữ liệu)Ứng dụng kép (Nhân bản ứng dụng)Đa cửa sổ (chia đôi màn hình)Khoanh tròn để tìm kiếm,2,2 Nano SIM,,Type C,802.11 a/b/g/n/acVHT80Wi-Fi Direct,BEIDOUGLONASSGALILEOGPSQZSS,v5.3,,Pin Li-ion,6000 mAh,Không,Android,Android 16,Que lấy SIMCáp Type CSách HDSD,IP54,,,,,HD 720p@120fpsFullHD 1080p@30fps,Xóa phôngLàm đẹp (Beautify)Bộ lọc màu,,,Kính cường lực,,,Double rear camera,,,Single selfie camera,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
43,Honor X5c Plus 4GB 64GB,3.090.000đ,/dien-thoai/honor-x5c-plus,Trung Quốc,01/2026,18 tháng,167 x 77 x 7.89 mm,186 g,Khung máy: Nhựa,MediaTek Helio G81,Octa-Core,8,,4 GB,6.74 inch,TFT LCD,HD+,720 x 1600 Pixels,90 Hz,Điện dung đa điểm,450 nits,Mali-G52,64 GB,,MicroSD,,Wide,0.08 MP,5.0 MP,Cảm biến trọng lựcHai cảm biến ánh sáng môi trường xung quanhCảm biến tiệm cậnCảm biến vân tayCảm biến gia tốc,Mở khóa vân tay,,2,2 Nano SIM,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/acWi-Fi Direct,GALILEOGLONASSA-GPSGPSBEIDOU,v5.1,NFC,Lithium polymer,5260 mAh,Sạc nhanh 15 W,Android,Android 15 (MagicOS 9),Dây cáp sạcCủ sạcỐp lưngSách HDSD,,,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.7 GHz,,,,Làm đẹp (Beautify)Chế độ chân dung,,,Kính cường lực,,,Double rear camera,ƒ/2.2,Ống kính phụ trợ,Single selfie camera,,16.7 Triệu,,,,,,,,,,,,,,,,,
44,Honor Play 10 4GB 128GB,2.590.000đ,/dien-thoai/honor-play-10-4gb,Trung Quốc,2025,18 tháng,16.7 x 7.7 x 0.8 cm,189 g,Đang cập nhật,MediaTek Helio G81,,8,,4 GB,6.74 inch,TFT LCD,Đang cập nhật,720 x 1600 Pixels,,,,,128 GB,,,,,5.0 MP,3.0 MP,,Mẫu hìnhPINMật khẩu,,1,2 Nano SIM,,Type C,802.11 a/b/g/n,,v5.1,,Lithium polymer,5000 mAh,,Android,Đang cập nhật,Củ sạcDây cáp sạcQue lấy SIMSách HDSDỐp lưng,IP52,,,,,FullHD 1080p@240fps,,,,,,,Double rear camera,,,,,,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
45,Masstel Izi T5 Plus 4G,530.000đ,/dien-thoai/masstel-izi-t5-plus,Trung Quốc,2025,12 tháng,131.4 x 54 x 13.8 mm,113 g,Nhựa,Unisoc T107,,,,48 MB,2.4 inch,TFT,,240 x 320 pixels,,,,,128 MB,,,32 GB,,,,,,Nghe đài FMNghe nhạc,2,2 Nano SIM,4G,Type C,,,Có,Jack 3.5 mm,Lithium-ion,2300 mAh,,,,Cáp Type CSách HDSDPin rời,,,,,,,,,,,,,,,,,,16.7 Triệu,,,,,,,,,,,,,,,,,
46,Xiaomi 15T 5G 12GB 512GB,13.190.000đ,/dien-thoai/xiaomi-15t,Trung Quốc,09/2025,24 tháng,163.2 x 78.0 x 7.5 mm,194 g,Khung máy: NhựaMặt lưng máy: Nhựa,Đang cập nhật,Octa-Core,8,,12 GB,6.83 inch,AMOLED,Đang cập nhật,Đang cập nhật,120 Hz,,3200 nits,,512 GB,,,,Wide,12.0 MP,32.0 MP,Cảm biến tiệm cậnCảm biến la bànCon quay hồi chuyểnCảm biến gia tốc,Mật khẩuMở khóa vân tayMở khóa khuôn mặt,"Xiaomi HyperchargeLoa képKiến trúc âm thanh chất lượng cao, với chứng nhận Hi-Res Audio và Hi-Res Audio Wireless, hỗ trợ LDACLoa kép Dolby Atmos",2,2 Nano SIM,5G,Cổng sạc: Type C,Wifi 6E,A-GPSBDSGALILEOGLONASSQZSSNavIC,v6.0,NFCOTG,Silicon carbon,5500 mAh,Sạc nhanh 67 W,Android,Android 15,CápSạcQue lấy SIMSách HDSD,IP68,,,Đang cập nhật,,FullHD 1080p@60fps,HDRChế độ chân dungBan đêm (Night Mode),Quay phim FullHDQuay phim HD,LPDDR5X,Đang cập nhật,,,Triple rear camera,ƒ/2.2,Telephoto,Single selfie camera,,Hơn 68 tỷ màu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,Ultra Wide,,,,,,,,,,,Đang cập nhật,,
47,Xiaomi Poco M7 Pro 5G 8GB 256GB,5.990.000đ,/dien-thoai/xiaomi-poco-m7-pro,Trung Quốc,04/2025,18 tháng,162.4 x 75.7 x 7.99 mm,190 g,Khung máy: NhựaMặt lưng máy: Nhựa cao cấp,MediaTek Dimensity 7025-Ultra,Octa-Core,8,2.5 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,120 Hz,,2100 nits,IMG BXM-8-256,256 GB,,MicroSD,1 TB,Wide,2.0 MP,20.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến la bànCon quay hồi chuyển,Mở khóa vân tay dưới màn hìnhMở khóa khuôn mặt,Google GeminiXóa AIAI SkyLàm đẹp AI,2,2 Nano SIM,5G,Cổng sạc: Type C,,GPSGLONASSGALILEOBDS,v5.3,NFCOTG,Lithium polymer,5110 mAh,Sạc nhanh 45 W,Android,Android 14 (Hyper OS),SạcCáp USB Type CQue lấy SIMỐp lưngSách HDSD,IP64,,,,,1080p@30fps720p@30fps,HDRToàn cảnh,1080p@30/60fps720p@30fps,LPDDR4X,Gorilla Glass 5,100% DCI-P3,5.000.000 : 1,Double rear camera,ƒ/2.2,Depth,Single selfie camera,Sạc pin nhanh,,,,,,,,,,,,,,,,,,
48,iPhone Air 256GB,22.990.000đ,/dien-thoai/iphone-air,Trung Quốc,09/2025,12 tháng,156.2 x 74.7 x 5.64 mm,165 g,Mặt lưng máy: Ceramic ShieldKhung máy: Titanium,Apple A19 Pro,12-Core,6,,12 GB,6.5 inch,OLED,Super Retina XDR,48.0 MP Fusion,120 Hz,,,Apple GPU 5 nhân,256 GB,,,,Main,,,Cảm biến khí áp kếCon quay hồi chuyểnCảm biến tiệm cậnFace IDGia tốc kế lực G caoHai cảm biến ánh sáng môi trường xung quanh,Mở khóa bằng mật mãMở khóa khuôn mặt,Apple IntelligenceKhẩn cấpPhát hiện va chạm (Crash Detection),,2 eSIM (hoạt động cùng lúc),5G,Cổng sạc: Type C,Wifi 7,GLONASSGALILEOQZSSBEIDOUNavICGPS,v5.3,NFC,Lithium-ion,30 Giờ,,iOS,iOS 26,Cáp USB-C to USB-CQue lấy SIMSách HDSD,IP68,,,460 ppi,,4K Dolby Vision @120fps720p Dolby Vision @30fps1080p Dolby Vision @120fps,Tự động lấy nét (AF)HDRChế độ chân dungỔn định hình ảnh quang họcBan đêm (Night Mode)Ảnh động,,,Ceramic Shield 2,,2.000.000:1,Single rear camera,,,Single selfie camera,Hỗ trợ sạc không dâySạc pin nhanh,,,,,,,,,Có,,3000 nits,ƒ/1.9,18.0 MP Center Stage,1080p Dolby Vision @60fps4K Dolby Vision @60fps,,,,
49,Samsung Galaxy A57 5G 8GB 128GB,11.990.000đ,/dien-thoai/samsung-galaxy-a57,Việt Nam / Trung Quốc,03/2026,12 tháng,161.6 x 76.9 x 6.9 mm,179 g,Đang cập nhật,Exynos 1680,Octa-Core,8,,8 GB,6.7 inch,PLS LCD,FHD+,1080 x 2340 Pixels,120,,1900 nits,Xclipse 550,128 GB,,,,Chính,5.0 MP,12.0 MP,,Mở khóa vân tayMẫu hìnhPINMật khẩuMở khóa khuôn mặt,,1,2 Nano SIM,,Cổng sạc: Type C,802.11 a/b/g/n/ac/axWi-Fi DirectWiFi Aware,BEIDOUQZSSGPSGLONASSGALILEO,v6.0,NFC,Đang cập nhật,5000 mAh,Không,Android,Android 16,Que lấy SIMCáp Type CSách HDSD,IP68,,1 x 2.9 GHz + 3 x 2.6 GHz + 4 x 1.95 GHz,,,UHD 4K (3840 x 2160)@30fpsFullHD 1080p@60fpsHD 240fps,Làm đẹp (Beautify)HDRNhãn dán (AR Stickers),,,Corning Gorilla Glass Victus+,,,Triple rear camera,,,Single selfie camera,,16 Triệu,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,,,,,,,,,,,,,,
50,Tecno Pova 7 8GB 128GB,4.490.000đ,/dien-thoai/tecno-pova-7,Trung Quốc,07/2025,13 tháng,168.6 x 76.6 x 9.31mm,226 g,Khung máy: NhựaMặt lưng máy: Nhựa,MediaTek Helio G100 Ultimate,Octa-Core,8,,8 GB,6.78 inch,IPS LCD,FHD+,1080 x 2460 Pixels,120 Hz,Điện dung đa điểm,900 nits,Mali-G57,128 GB,,MicroSD,2 TB,,2.0 MP,8.0 MP,Cảm biến tiệm cậnCảm biến ánh sángCảm biến trọng lực,Mở khóa vân tay,,2,2 Nano SIM,4G,Cổng sạc: Type C,,,v5.4,NFCOTG,Lithium polymer,7000 mAh,Sạc nhanh 45 W,Android,Android 15,Dây cáp sạcCủ sạcỐp lưngSách HDSD,IP64,,2 x Cortex-A76 2.20 GHz + 6 x Cortex-A55 2.00 GHz,395 ppi,,FullHD 1080p@30fps,Làm đẹp (Beautify)Ban đêm (Night Mode)Chế độ chân dung,1080p@30fps,,,,,,,,,,16 Triệu,,,,,,,,,,,,,,,,,
51,Masstel Fami 60S 4G,720.000đ,/dien-thoai/masstel-fami-60s-4g,Trung Quốc,02/2024,12 tháng,126x 57x15.2 mm,141 g,Khung máy: Nhựa cao cấp,Đang cập nhật,,,,Đang cập nhật,2 inch,IPS,QVGA,320 x 240 Pixels,,,,,128 MB,2000,MicroSD,32 GB,,,,,,Ghi âm cuộc gọi,2,2 Nano SIM,4G,Cổng sạc: Type C,,,Có,,Đang cập nhật,2300 mAh,,Không,Không,Sạc,,,,,,,,,,Mặt kính cong 2.5D,,,,,,,,260.000,,,,,,,,,,,,,,,,,
