name;price;display_size;display_tech;back_cam;front_cam;CPU;NFC;RAM;storage_cap;battery;SIM;resolution;screen_func;os;Loại CPU;size;weight;material;refresh_rate;GPU;external_storage;waterproof;max_charging;security;external_stoage
iphone 14;16390000.0;6.1 inches;OLED;Camera góc rộng: 12MP, ƒ/1.5Camera góc siêu rộng: 12MP, ƒ/2.4;12MP, ƒ/1.9;Apple A15 Bionic 6 nhân;Có;6 GB;256 GB;3279 mAh;2 SIM (nano‑SIM và eSIM);2532 x 1170 pixels;Tần số quét 60Hz, 1200 nits, Kính cường lực Ceramic Shield,  Super Retina XDR;iOS 16;3.22 GHz;146.7 x 71.5 x 7.8 mm;172 g;Khung nhôm & Mặt lưng kính cường lực;60 Hz;Apple GPU 5 nhân;Không;IP68;20 W;Mở khoá khuôn mặt Face ID;
tecno spark 40 pro+;4890000.0;6.78 inches;AMOLED;50 MP;13 MP;MediaTek Helio G200;;8 GB;256 GB;5200mAh, 45W;2 SIM (Nano-SIM);;1224 x 2720 pixels6.78'' 144Hz & 1.5K 3D AMOLED Display;Android 15;;;;;;;;;;;
zte nubia z60s pro;10990000.0;6.78 inches;AMOLED;Camera chính: 50MP, f/1.56Camera Tele: 8MP, f/2.4Camera góc siêu rộng: 50MP;16MP, f/2.45;Snapdragon 8 Gen 2 (4 nm);Có;16 GB;512 GB;5100 mAh;2 Nano-SIM;2160 x 1440 pixels;Tần số quét 120 Hz, 1200 nits, 452PPI, 100% DCI-P3, 1,07 tỷ màu sắc;Android 14;;;;;;;;;;;
iphone 16e;14990000.0;6.1 inches;Super Retina XDR;Hệ thống camera 2 trong 1Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP)Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels;Camera 12MP Khẩu độ ƒ/1.9 Camera TrueDepth hỗ trợ nhận diện khuôn mặt;Chip A18;Có;Đang cập nhật;256 GB;Thời gian xem video Lên đến 26 giờ Thời gian xem video (trực tuyến) Lên đến 21 giờThời gian nghe nhạc Lên đến 90 giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2532 x 1170 pixels;Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1 (tiêu chuẩn) Độ sáng tối đa 800 nit (tiêu chuẩn);;;;;;;;;;;;
xiaomi 15 ultra;26990000.0;6.73 inches;AMOLED;Camera chính Leica: 50MP, ƒ/1.63, OIS Camera tele Leica: 50MP, ƒ/1.8, OIS Camera siêu tele Leica: 200MP, ƒ/2.6, OIS Camera góc siêu rộng Leica: 50MP, ƒ/2.2, 115° FOV;Camera trước: 32MP, ƒ/2.0, 90° FOV Cảm biến OV32B Tiêu cự 21mm;Snapdragon 8 Elite (Tiến trình sản xuất 3nm);Có;16 GB;512 GB;5410mAh;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;3200 x 1440 pixel;68 tỷ màuTần số quét 1-120HzTốc độ phản hồi cảm ứng 300HzĐộ sáng tối đa 3200 nits trong nhiều tình huống Điều chỉnh độ sáng PWM 1920Hz/DC dimmingOriginal color PRO | Pro HDR | Công nghệ cảm ứng khi ướtHDR10+, Dolby Vision;Xiaomi HyperOS 2;2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz;;;;;;;;;;
iphone 17 pro;46590000.0;6.3 inches;Super Retina XDR;Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x;Camera 18MP Center Stage Khẩu độ ƒ/1.9;Chip A19 Pro;Có;12 GB;1 TB;31 Giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2622 x 1206  pixels;Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn;iOS 26;CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;150 x 79.1 x 8.75 mm;204 g;Khung máy: Nhôm nguyên khốiMặt lưng máy: Ceramic Shield;120 Hz;Apple GPU 6 nhân;;IP68;40 W;Mở khoá khuôn mặt Face ID;
honor 400 pro;14990000.0;6.7 inches;AMOLED;Camera chính AI siêu nét 200MP (f/1.9, OIS) + 50MP Camera Tele (f/2.4 , OIS) + 12MP Camera Góc Siêu Rộng (f/2.2);50MP (khẩu độ f/2.0);Snapdragon 8 Gen 3;Có;12 GB;512 GB;6000 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;2800 x 1280 pixels;1.07 tỷ màu;MagicOS 9.0 (Android 15);8 nhân;160.8 x 8.1 x 76.1 mm;205 g;Viền máy: NhựaMặt lưng máy: KínhKhung máy: Kim loại;120 Hz;Adreno 750;;IP69;;;
nubia z70 ultra;16990000.0;6.85 inches;AMOLED;50MP+64MP+50MP;16MP;Snapdragon 8 Elite (3 nm);Có;12 GB;256 GB;6150 mAh;2 Nano-SIM;;Độ phân giải màn hình: 2688 x 1216 pixelsTần số 144Hz;Android 15;;;;;;;;;;;
xiaomi redmi note 15 pro;11190000.0;6.83 inches;AMOLED;Camera chính: 200MP, OIS, f/1.7Camera góc siêu rộng: 8MP, f/2.2;20MP, f/2.2;MediaTek Dimensity 7400-Ultra;Có;12 GB;256 GB;6580mAh(typ);2 Nano SIM hoặc 1 Nano + 1 eSIM;2772 x 1280 pixels;Tần số quét: lên đến 120HzDCI-P3 rộng, độ sâu màu 12-bitPWM dimming 3840HzĐộ sáng: 3200 nits1800 nits (HBM)Tỷ lệ tương phản: 8,000,000:1Điều chỉnh độ sáng tự động 16,000 cấp;Xiaomi HyperOS 2;8 nhân lên đến 2.6 GHz;163.61 x 78.09 x 7.96 mm;204 g;Khung máy: NhựaMặt lưng máy: Nhựa cao cấp/Da nhân tạo;120;Mali-G615;MicroSD;IP69K;45 W;Mở khoá vân tay dưới màn hình;
xiaomi redmi note 15 pro;11190000.0;6.83 inches;AMOLED;Camera chính: 200MP, OIS, f/1.7Camera góc siêu rộng: 8MP, f/2.2;20MP, f/2.2;MediaTek Dimensity 7400-Ultra;Có;12 GB;256 GB;6580mAh(typ);2 Nano SIM hoặc 1 Nano + 1 eSIM;2772 x 1280 pixels;Tần số quét: lên đến 120HzDCI-P3 rộng, độ sâu màu 12-bitPWM dimming 3840HzĐộ sáng: 3200 nits1800 nits (HBM)Tỷ lệ tương phản: 8,000,000:1Điều chỉnh độ sáng tự động 16,000 cấp;Xiaomi HyperOS 2;8 nhân lên đến 2.6 GHz;163.61 x 78.09 x 7.96 mm;204 g;Khung máy: NhựaMặt lưng máy: Nhựa cao cấp/Da nhân tạo;120;Mali-G57 MC2;MicroSD;IP69K;45 W;Mở khoá vân tay dưới màn hình;MicroSD
samsung galaxy s25 ultra;29810000.0;6.9 inches;Dynamic AMOLED 2X;"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""";12 MP;Snapdragon 8 Elite dành cho Galaxy (3nm);Có;12 GB;512 GB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);120Hz2600 nitsCorning® Gorilla® Armor 2;Android 15;;162.8 x 77.6 x 8.2 mm;218 g;Khung viền: TitaniumMặt lưng máy: Kính cường lực;120 Hz;Adreno 830;Không;IP68;45 W;Mở khoá vân tay dưới màn hình;
xiaomi redmi note 15;6990000.0;6.77 inches;AMOLED;Camera chính 108MP ƒ/1.7 OIS + Camera siêu rộng 8MP ƒ/2.2;20MP ƒ/2.2;Snapdragon® 6 Gen 3;;6 GB;128 GB;5520mAh;2 Nano SIM;1080 x 2392 pixels;Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, chứng nhận TÜV Rheinland;Xiaomi HyperOS 2;;164 x 75.42 x 7.40  mm;183.7 g;Mặt lưng máy: Nhựa cao cấpKhung máy: Nhựa;120;Adreno 710;MicroSD;IP64;33 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 2 TB
xiaomi redmi note 15;6990000.0;6.77 inches;AMOLED;Camera chính 108MP ƒ/1.7 OIS + Camera siêu rộng 8MP ƒ/2.2;20MP ƒ/2.2;Snapdragon® 6 Gen 3;;6 GB;128 GB;5520mAh;2 Nano SIM;1080 x 2392 pixels;Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, chứng nhận TÜV Rheinland;Xiaomi HyperOS 2;;164 x 75.42 x 7.40  mm;183.7 g;Mặt lưng máy: Nhựa cao cấpKhung máy: Nhựa;120;Adreno 710;MicroSD;IP64;45 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 1 TB
xiaomi redmi 15;6190000.0;6.9 inches;IPS LCD;50MP, Ống kính -5P, f/1.8;8MP f/2.05;Snapdragon® 6s Gen 3;Có;8 GB;256 GB;7000mAh;2 SIM (Nano-SIM);2340 x 1080-pixel;Độ sáng 700 nits850 nits (HBM)Tỉ lệ tương phản 1400:1Cảm ứng 288HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh học;Xiaomi HyperOS 2;Kryo, up to 2.3GHz;169.5 x 80.5 x 8.4 mm;217 g;Khung máy: NhựaMặt lưng máy: Nhựa;144;Adreno 619;MicroSD;IP64;33 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
xiaomi redmi 15;6190000.0;6.9 inches;IPS LCD;50MP, Ống kính -5P, f/1.8;8MP f/2.05;Snapdragon® 6s Gen 3;Có;8 GB;256 GB;7000mAh;2 SIM (Nano-SIM);2340 x 1080-pixel;Độ sáng 700 nits850 nits (HBM)Tỉ lệ tương phản 1400:1Cảm ứng 288HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh học;Xiaomi HyperOS 2;Kryo, up to 2.3GHz;169.5 x 80.5 x 8.4 mm;217 g;Khung máy: NhựaMặt lưng máy: Nhựa;144;Adreno 619;MicroSD;IP64;33 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
xiaomi redmi 15c nfc;3390000.0;6.9 inches;LCD;50MP, Ống kính -5P, f/1.8;8MP f/2.0;MediaTek Helio G81-Ultra;Có;4 GB;128 GB;6000mAh;2 SIM (Nano-SIM);1600 x 720 pixels (HD+);Độ sáng 660 nits810 nits (HBM)Tỉ lệ tương phản 1200:1Cảm ứng 240HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh họcHỗ trợ DC Dimming giảm nhấp nháy;Xiaomi HyperOS 2;Octa-core (Cortex-A75 + Cortex-A55), tốc độ tối đa 2.0GHz;;;;;;;;;;
honor 400;11990000.0;6.55 inches;AMOLED;Camera chính AI 200MP (f/1.9, OIS) + 12MP Camera Góc Siêu Rộng (f/2.2);50MP (f/2.0);Snapdragon 7 Gen 3;Có;12 GB;256 GB;6000 mAh (Li-Po, công nghệ Pin Silicon-Carbon);2 Nano SIM hoặc 1 Nano + 1 eSIM;2736 × 1264 pixels;1.07 tỷ màu;MagicOS 9.0 (dựa trên Android 15);8 lõi;156.5 x 7.3 x 74.6 mm;184 g;Khung máy: Kim loạiMặt lưng máy: KínhViền máy: Nhựa;120 Hz;Adreno 720;;IP66;80 W;Mở khoá vân tay dưới màn hình;
iphone 16 plus;27790000.0;6.7 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x;;;;;;;;;;;;;;;;;;;;;
oppo reno12;8990000.0;6.7 inches;AMOLED;50MP + OIS  Camera góc rộng: 8MP Camera xóa phông: 2MP;32MP;MediaTek Dimensity 7300;Có;12 GB;256 GB;5000mAh;;;Tần số quét 120Hz;Android 14;;;;;;;;;;;
iphone 17e;0.0;6.1 inches;Super Retina XDR;48MP, ƒ/1.6Telephoto 2x: 12MP, ƒ/1.6;12MP, ƒ/1.9;Apple A19;Có;Đang cập nhật;512 GB;Xem video: 26 giờXem video trực tuyến: 21 giờ;2 SIM (nano‑SIM và eSIM);2532 x 1170 pixels;HDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 800 nit (tiêu chuẩn)Độ sáng đỉnh: 1200 nit (HDR);iOS 26;6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;147.6 x 71.5 x 7.8 mm;167 g;Khung máy: Nhôm nguyên khốiMặt lưng máy: Kính;60;Apple GPU 4 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
xiaomi redmi note 13 pro;4990000.0;6.67 inches;AMOLED;Chính 200 MP & Phụ 8 MP, 2 MP;16 MP;MediaTek Helio G99-Ultra 8 nhân;Có;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120Hz1300 nitsKính cường lực Corning Gorilla Glass 5;Android 13;2.2 GHz;;;;;;;;;;
oppo find x9;0.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono);32MP f/2.4;Dimensity 9500 5G;Có;16 GB;512 GB;7025mAh (Typ);Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits;ColorOS 16, nền tảng Android 16;8 nhân;156.98 x 73.93 x 7.99 mm;203 g;Mặt lưng máy: Kính cường lựcKhung viền: Hợp kim nhôm;120;ARM Mali Drage MC12;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;
oppo find x9;0.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono);32MP f/2.4;Dimensity 9500 5G;Có;16 GB;512 GB;7025mAh (Typ);Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1256 x 2760 pixels;Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits;ColorOS 16, nền tảng Android 16;8 nhân;156.98 x 73.93 x 7.99 mm;203 g;Mặt lưng máy: Kính cường lựcKhung viền: Hợp kim nhôm;120;ARM Mali Drage MC12;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;
meizu lucky 08;5490000.0;6.78 inches;AMOLED;108MP, ƒ/1.67 + 2MP, ƒ/2.4;8MP, ƒ/2.0;Snapdragon 7s Gen 2;;12 GB;256 GB;6000mAh;2 Nano-SIM;2780 × 1264 pixel;Tần số lên đến 144Hz, Tỷ lệ tương phản 8000000:1, 450 PPI, 5000nits, 100% DCI-P3;Android 14;Tốc độ xung nhịp lên đến 2.4GHz;;;;;;;;;;
samsung galaxy a17;4990000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;MediaTek Helio G99;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.2GHz & 6 nhân 2.0GHz);164.4 x 77.9 x 7.5 mm;192 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
samsung galaxy a17;4990000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;MediaTek Helio G99;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.2GHz & 6 nhân 2.0GHz);164.4 x 77.9 x 7.5 mm;192 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1 TB
samsung galaxy a17;4990000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;MediaTek Helio G99;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.2GHz & 6 nhân 2.0GHz);164.4 x 77.9 x 7.5 mm;163 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
samsung galaxy a17;4990000.0;6.7 inches;Super AMOLED;Chính 50 MPPhụ 5 MP, 2 MP;13 MP;MediaTek Helio G99;Có;8 GB;128 GB;Li-Ion 5000 mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2340 pixels (FullHD+);Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7;Android 15;8 nhân (2 nhân 2.2GHz & 6 nhân 2.0GHz);164.4 x 77.9 x 7.5 mm;163 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1 TB
samsung galaxy s25 plus;22700000.0;6.7 inches;Dynamic AMOLED 2X;Camera siêu rộng 12MP  Camera góc rộng 50MPCamera Tele 10MP;12MP;Snapdragon 8 Elite dành cho Galaxy (3nm);Có;12 GB;256 GB;4900 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);120Hz2600 nitsCorning® Gorilla® Armor 2;Android;Tốc độ CPU: 4.47GHz, 3.5GHz  8 nhân;158.4 x 75.8 x 7.3 mm;190 g;Khung viền: Armor aluminumMặt lưng máy: Kính cường lực;120 Hz;Adreno 830;Không;IP68;45 W;Mở khoá vân tay dưới màn hình;
samsung galaxy s26 plus;29490000.0;6.7 inches;Dynamic AMOLED 2X;Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP;12MP;Exynos 2600 (2nm);Có;12 GB;512 GB;4900 mAh;2 Nano SIM Hoặc 2 eSIM  Hoặc 1 Nano SIM + 1 eSIM;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;158.4 x 75.8 x 7.3 mm;190 g;Khung viền: Armor aluminum;120 Hz;Adreno 830;;IP68;;;
xiaomi 15;19490000.0;6.36 inches;CrystalRes AMOLED;Camera chính Leica: 50MP, ƒ/1.62, OIS, Tiêu cự tương đương 23mmCamera tele Leica: 50MP, ƒ/2.0, OISCamera góc siêu rộng Leica: 50MP, ƒ/2.2, 115°;Camera trước: 32MP, ƒ/2.0, 90°,  Tiêu cự 21mm;Snapdragon 8 Elite (Tiến trình sản xuất 3nm);Có;12 GB;512 GB;5240 mAh;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2670 x 1200 pixels;Độ sáng 3200 nitsTự động tinh chỉnh tần số quét 1-120Hz Tốc độ phản hồi cảm ứng lên đến 300HzHỗ trợ 68 tỷ màuDải màu DCI-P3Hỗ trợ Dolby Vision, HDR10+, HDR10Độ sáng DCCông nghệ cảm ứng ướt;Xiaomi HyperOS 2;2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz;;;;;;;;;;
huawei mate x7;0.0;8.0 inches;OLED;Camera chính Ultra Lighting HDR 50MP (OIS, khẩu độ F1.49 - F4.0)Camera góc siêu rộng 40MPCamera telephoto macro 50MP (OIS);Khi gập lại: Camera 8 MP (khẩu độ F2.4)Khi mở ra: Camera 8 MP (khẩu độ F2.2);;Có;16 GB;512 GB;5600 mAh;;;Màn hình: 1.07 tỷ màu, gam màu rộng P3Màn hình chính: 2416 × 2210 pixelMàn hình ngoài: 2444 × 1080 pixelTốc độ làm mới thích ứng LTPO 1-120 Hz, thay đổi cường độ sáng PWM tần số cao 1440 HzMật độ điểm ảnh 412 PPI;EMUI 15.0;;;;;;;;;;;
iphone air;30490000.0;6.5 inches;Super Retina XDR;48MP Fusion Main f/1.6;18MP Center Stage f/1.6;Chip A19 Pro;Có;12 GB;512 GB;Xem video: 27 giờXem video trực tuyến: 22 giờ;2 eSIM;2736 x 1260 pixels;Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi;iOS 26;6 lõi (2 hiệu năng + 4 tiết kiệm điện);156.2 x 74.7 x 5.64 mm;165 g;Mặt lưng máy: Ceramic ShieldKhung máy: Titanium;120 Hz;Apple GPU 5 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
iphone air;30490000.0;6.5 inches;Super Retina XDR;48MP Fusion Main f/1.6;18MP Center Stage f/1.6;Chip A19 Pro;Có;12 GB;512 GB;Xem video: 27 giờXem video trực tuyến: 22 giờ;2 eSIM;2736 x 1260 pixels;Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi;iOS 26;6 lõi (2 hiệu năng + 4 tiết kiệm điện);156.2 x 74.7 x 5.64 mm;165 g;Mặt lưng máy: Ceramic ShieldKhung máy: Titanium;120 Hz;Apple GPU 5 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
xiaomi 15 ultra;28990000.0;6.73 inches;AMOLED;Camera chính Leica: 50MP, ƒ/1.63, OIS Camera tele Leica: 50MP, ƒ/1.8, OIS Camera siêu tele Leica: 200MP, ƒ/2.6, OIS Camera góc siêu rộng Leica: 50MP, ƒ/2.2, 115° FOV;Camera trước: 32MP, ƒ/2.0, 90° FOV Cảm biến OV32B Tiêu cự 21mm;Snapdragon 8 Elite (Tiến trình sản xuất 3nm);Có;16 GB;1 TB;5410mAh;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;3200 x 1440 pixel;68 tỷ màuTần số quét 1-120HzTốc độ phản hồi cảm ứng 300HzĐộ sáng tối đa 3200 nits trong nhiều tình huống Điều chỉnh độ sáng PWM 1920Hz/DC dimmingOriginal color PRO | Pro HDR | Công nghệ cảm ứng khi ướtHDR10+, Dolby Vision;Xiaomi HyperOS 2;2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz;;;;;;;;;;
nothing phone 2a plus;7990000.0;6.7 inches;Flexible AMOLED On-cell;"Camera chính: 50 MP, f/1.88, 1/1.57""Camera góc siêu rộng: 50 MP, f/2.2, 1/2.76""";"50 MP, f/2.2, 1/2.76""";MediaTek Dimensity 7350 Pro 5G;Có;12 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2412 pixels;1300 nits120 Hz, 1,07 tỷ màu;Android 14;Up to 3.0 GHz;;;;;;;;;;
oppo reno12 f;7120000.0;6.7 inches;AMOLED;50MP  Camera góc rộng: 8MP Camera xóa phông: 2MP;32MP;MediaTek Dimensity 6300;Có;8 GB;256 GB;5000 mAh;2 Nano SIM;1080 x 2040 Pixel;Tần số quét 120Hz;Android 14;;163.05 x 75.75 x 7.76 mm;187 g;Khung máy: Nhựa cao cấpMặt lưng máy: Kính cường lực;120 Hz;Mali-G57 MC2;MicroSD;IP64;;;
samsung galaxy s24 ultra;23990000.0;6.8 inches;Dynamic AMOLED 2X;Camera chính: 200MP, Laser AF, OIS Camera: 50MP,  PDAF, OIS, zoom quang học 5xCamera tele: 10MPCamera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚;12 MP, f/2.2;Snapdragon 8 Gen 3;Có;12 GB;512 GB;5000mAh;SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM;1440 x 3120 pixels;Độ sáng cao nhất 2,600 nits, 120Hz, HDR10+;Android 14, One UI 6.1;;Dài 162.3 mm - Ngang 79 mm - Dày 8.6 mm - Nặng 232 g;;Khung Titan & Mặt lưng kính cường lực;;Adreno 750;;IP68;45 W;Mở khoá vân tay dưới màn hình;
xiaomi 17 ultra;39990000.0;6.9 inches;LTPO OLED;Camera chính: 200 MPGóc siêu rộng: 50 MP;50 MP;Qualcomm Snapdragon 8 Elite Gen 5;Có;16 GB;1 TB;6000 mAh;2 Nano-SIM;2608 x 1200 Pixels;Độ phân giải màn hình: 2608 × 1200 pixelsĐộ sáng tối đa 3500 nits;Android 16 với HyperOS;8 nhân;162.9 x 77.6 x 8.29 mm;219 g;Khung máy: Hợp kim nhômMặt lưng máy: Kính;120 Hz;Adreno 830;;IP68;90 W;Mở khoá vân tay dưới màn hình;
samsung galaxy s26 plus;26990000.0;6.7 inches;Dynamic AMOLED 2X;Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP;12MP;Exynos 2600 (2nm);Có;12 GB;256 GB;4900 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;158.4 x 75.8 x 7.3 mm;190 g;Khung viền: Armor aluminum;120 Hz;Adreno 830;;IP68;;;
samsung galaxy a07;0.0;6.7 inches;PLS LCD;50 MP, F1.8 + 2 MP, F2.4;8 MP, F2.0;MediaTek Dimensity 6300 5G;;4 GB;128 GB;6000 mAh;2 Nano-SIM;720 x 1600 pixel;Tần số quét: 120HzĐộ sâu màu sắc:16M;Android;8 nhân, 2.4GHz, 2GHz;167.4 x 77.4 x 7.6 mm;184 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1.5 TB
samsung galaxy a07;0.0;6.7 inches;PLS LCD;50 MP, F1.8 + 2 MP, F2.4;8 MP, F2.0;MediaTek Dimensity 6300 5G;;4 GB;128 GB;6000 mAh;2 Nano-SIM;720 x 1600 pixel;Tần số quét: 120HzĐộ sâu màu sắc:16M;Android;8 nhân, 2.4GHz, 2GHz;167.4 x 77.4 x 7.6 mm;184 g;Đang cập nhật;90 Hz;Adreno 830;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 2 TB
samsung galaxy a07;0.0;6.7 inches;PLS LCD;50 MP, F1.8 + 2 MP, F2.4;8 MP, F2.0;MediaTek Dimensity 6300 5G;;4 GB;128 GB;6000 mAh;2 Nano-SIM;720 x 1600 pixel;Tần số quét: 120HzĐộ sâu màu sắc:16M;Android;8 nhân, 2.4GHz, 2GHz;176 x 86 X 27.5 mm;275 g;Đang cập nhật;120;Mali-G57;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1.5 TB
