Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
Xiaomi Redmi 15C 4GB 128GB NFC,3.990.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-15c.html,6.9 inches,LCD,"50MP, Ống kính -5P, f/1.8",8MP f/2.0,MediaTek Helio G81-Ultra,Có,128 GB,2 SIM (Nano-SIM),Xiaomi HyperOS 2,1600 x 720 pixels (HD+),"Độ sáng 660 nits810 nits (HBM)Tỉ lệ tương phản 1200:1Cảm ứng 240HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh họcHỗ trợ DC Dimming giảm nhấp nháy","Octa-core (Cortex-A75 + Cortex-A55), tốc độ tối đa 2.0GHz",4 GB,6000mAh,,
Điện thoại Meizu Mblu 22 3GB 64GB,2.290.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-22.html,6.79 inches,IPS LCD,13 MP + ƒ/1.8,5 MP + ƒ/2.2,Unisoc SC9863A(28 nm),,64 GB,,Android 15,,"Tần số quét: 90HzĐộ phân giải: 1640 x 720Tỷ lệ khung hình: 20,5:9Tỷ lệ tương phản: 1500: 1PPI: 264 400 nit (điển hình)",,3 GB,5000mAh,,
Samsung Galaxy Z Fold7 12GB 512GB,42.290.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-fold-7-12gb-512gb.html,8.0 inches,Dynamic AMOLED 2X,"200 MP, F1.7 + 12 MP, F2.2 + 10 MP, F2.4","10MP, F2.2",Snapdragon® 8 Elite 3nm for Galaxy,Có,512 GB,2 Nano-SIM,Android,,"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2184 x 1968 (QXGA+)Kích cỡ màn hình phụ: 6.5""Độ phân giải màn hình phụ: 2520 x 1080 (FHD+)Độ sâu màu sắc: 16M","8 nhân, 4.47GHz, 3.5GHz",12 GB,4400mAh,,
Samsung Galaxy S26 Plus 12GB 256GB,24.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-plus.html,6.7 inches,Dynamic AMOLED 2X,Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP,12MP,Exynos 2600 (2nm),Có,256 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,12 GB,4900 mAh,,
Nothing Phone 3A 8GB 128GB,8.790.000đ,https://cellphones.com.vn/dien-thoai-nothing-phone-3a.html,6.77 inches,AMOLED,"Camera chính: 50MP, F1.88Camera góc siêu rộng: 8MP, F2.2Camera Tele: 50MP, F2.0","32MP, F2.2",Qualcomm SM7635 Snapdragon 7s Gen 3,Có,128 GB,2 Nano-SIM,Nothing OS 3.1 (Based on Android 15),1080 x 2392 pixels,"120Hz, NTSC 105%, 387 ppi, 3000nit, 1.07 tỷ màu, DCI-P3 100%, HDR10+",,8 GB,5000mAh,,
OPPO Find N3 16GB 512GB,26.990.000đ,https://cellphones.com.vn/oppo-find-n3.html,7.82 inches,OLED,"Camera chính: 48MP, f/1.7, OISCamera góc rộng: 48MP, f/2.2Camera Tele: 64MP, f/2.6","Màn hình chính: 20MP, f/2.2 Màn hình ngoài: 32MP, f/2.4",Snapdragon 8 Gen 2 8 nhân,Có,512 GB,Nano-SIM + eSIM,Android 13,2268 x 2440 pixels,"Màn hình chính: 7.82 inches, 2K+ (2268 x 2440 Pixels), OLED, 120Hz, 2800 nit, 1 tỷ màu, Kính UTGMàn hình phụ: 6.31 inches, FHD+ (1116 x 2484 Pixels), 120Hz, Kính siêu mỏng Nanocrystal",1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,16 GB,4805 mAh,,
OPPO A6 Pro 8GB 128GB,8.090.000đ,https://cellphones.com.vn/dien-thoai-oppo-a6-pro-8gb-128gb.html,6.57 inches,AMOLED,"50MP (Chính, f/1.8) + 2MP (Mono, f/2.4), có đèn flash","16MP, f/2.4","MediaTek Helio G100, tối đa 2.2GHz",Có,128 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),ColorOS 15 (Android 15),1080 x 2372 pixels (FullHD+),"1 tỷ màu, Độ sáng tối đa 1400 nits","8 nhân, tối đa 2.2GHz",8 GB,7000mAh,,
OPPO A3 8GB 256GB,5.780.000đ,https://cellphones.com.vn/dien-thoai-oppo-a3-8gb-256gb.html,6.67 inches,LCD,"50MP, Khẩu độ F/1.8","5 MP, Khẩu độ F/2.2","Snapdragon 6s 4G Gen1, tối đa 2.1GHz",Không,256 GB,2 SIM (Nano-SIM),"ColorOS 14, nền tảng Android 14",720 x 1604 (HD+),"16 triệu màu, 90Hz, Kính cường lực Panda, độ sáng 1000 nit",,8 GB,5100mAh,,
Huawei Mate X7 16GB 512GB,42.990.000đ,https://cellphones.com.vn/dien-thoai-huawei-mate-x7.html,8.0 inches,OLED,"Camera chính Ultra Lighting HDR 50MP (OIS, khẩu độ F1.49 - F4.0)Camera góc siêu rộng 40MPCamera telephoto macro 50MP (OIS)",Khi gập lại: Camera 8 MP (khẩu độ F2.4)Khi mở ra: Camera 8 MP (khẩu độ F2.2),,Có,512 GB,,EMUI 15.0,,"Màn hình: 1.07 tỷ màu, gam màu rộng P3Màn hình chính: 2416 × 2210 pixelMàn hình ngoài: 2444 × 1080 pixelTốc độ làm mới thích ứng LTPO 1-120 Hz, thay đổi cường độ sáng PWM tần số cao 1440 HzMật độ điểm ảnh 412 PPI",,16 GB,5600 mAh,,
TECNO CAMON 40 Pro 8GB 256GB,5.590.000đ,https://cellphones.com.vn/dien-thoai-tecno-camon-40-pro.html,6.78 inches,AMOLED,"50MP, ƒ/1.8Góc siêu rộng 8MP",50MP,Mediatek Helio G100 Ultimate,Có,256 GB,2 Nano-SIM,Android 15,,Màn hình cong đôiFHD+Tần số quét 120HzĐộ sáng màn hình 1300 nitsHDR,,8 GB,5200mAh,,
Samsung Galaxy Z Flip7 12GB 512GB,26.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-flip-7-12gb-512gb.html,6.9 inches,Dynamic AMOLED 2X,"50 MP, F1.8 + 12 MP, F2.2","10MP, F2.2",,Có,512 GB,2 Nano-SIM,Android,,"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2520 x 1080 (FHD+)Kích cỡ màn hình phụ: 4.1""Độ phân giải màn hình phụ: 1048 x 948Công nghệ màn hình phụ: Super AMOLEDĐộ sâu màu sắc: 16M","10 nhân, 3.3 GHz, 2.74GHz, 2.36GHz, 1.8GHz",12 GB,4300mAh,,
OPPO A5i Pro 8GB 128GB,6.090.000đ,https://cellphones.com.vn/dien-thoai-oppo-a5i-pro.html,6.67 inches,LCD,50MP (Chính) Khẩu độ F/1.82MP (Mono) Khẩu độ F/2.4,5 MP Khẩu độ F/2.2,"Snapdragon 6s 4G Gen1, tối đa 2.1GHz",Có,128 GB,2 SIM (Nano-SIM),ColorOS 15 (nền tảng Android 15),720 x 1604 (HD+),"720 x 1604 (HD+), 16 triệu màu, độ sáng tối đa 1000 nits",,8 GB,6000mAh,,
TECNO SPARK 30 Pro 8GB 256GB Transformer,3.990.000đ,https://cellphones.com.vn/dien-thoai-tecno-spark-30-pro-8gb-256gb.html,6.78 inches,AMOLED,"108MP, f/1.75",13MP,MediaTek Helio G100,Có,256 GB,2 Nano-SIM,Android 14,,"120Hz, 1700 nits",,8 GB,5000 mAh,,
OPPO Find X5 Pro 5G 12GB 256GB,12.990.000đ,https://cellphones.com.vn/oppo-find-x5-pro.html,6.7 inches,AMOLED,"Camera chính: 50MP, f/1.7  Camera góc rộng: 50MP, f/2.2; FOV 112°Camera tele: 13MP,  f/2.4","Camera chính 32MP: f/2.4; FOV 90°, ống kính: 5P, lấy nét cố định",Qualcomm Snapdragon 8 Gen 1,Có,256 GB,2 SIM (Nano-SIM),ColorOS 12.1 dựa trên Android 12,1440 x 3216 pixels (QHD+),Tần số quét 120 Hz (Dynamic)  1.07 tỉ màu  Corning Gorilla Glass VictusGam màu: Chế độ sống động: 97% NTSC/100% DCI-P3 (Tiêu chuẩn) Chế độ dịu nhẹ: 71% NTSC/100% sRGB (Tiêu chuẩn)Độ sáng tối đa 1300 nits,MariSilicon X Imaging NPU,12 GB,5.000 mAh,,
Nubia V70 Design 8GB 128GB,2.790.000đ,https://cellphones.com.vn/dien-thoai-nubia-v70-design-8gb-128gb.html,6.7 inches,IPS LCD,"50 MP, ƒ/1.82.0 MP",16.0 MP,Unisoc T606,Có,128 GB,2 Nano-SIM,Android 14,720 x 1600 pixel,"120Hz, 264 ppi",,8 GB,5000 mAh,,
TECNO Spark Go 3 4GB 64GB,3.490.000đ,https://cellphones.com.vn/dien-thoai-tecno-spark-go-3.html,6.75 inches,,13 MP + đèn flash kép,8 MP,UNISOC T7250,,64 GB,2 Nano-SIM,Android 15,720 x 1600 pixel,Độ sáng tối đa 600 nits,2 nhân 2.2 GHz & 6 nhân 2.0 GHz,4 GB,5000 mAh,,
Nothing Phone 2A 5G 8GB 128GB,7.190.000đ,https://cellphones.com.vn/dien-thoai-nothing-phone-2a.html,6.7 inches,Flexible AMOLED On-cell,"50 MP, f/1.88, 1/1.56"" 50 MP, f/2.2, 1/2.76"", 114° FOV","32 MP, f/2.2, 1/2.74""",MediaTek Dimensity 7200 Pro (4nm TSMC process),Có,128 GB,2 SIM (Nano-SIM),Android 14,1080 x 2412 pixels,"Corning® Gorilla® Glass 5Tỷ lệ tương phản: 1,000,000:1394 PPI1300 nits120 Hz",Up to 2.8 GHz,8 GB,5000 mAh,,
OPPO A79 5G 8GB 256GB,7.060.000đ,https://cellphones.com.vn/oppo-a79.html,6.72 inches,,"Camera chính: 50MP; f/1.8; FOV 77°; ống kính 5P2MP, f/2.4; FOV 89°; ống kính 3P; hỗ trợ FF",8MP; f/2.0; FOV 80°; ống kính 4P,MediaTek Dimensity 6020 5G 8 nhân,Có,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),"Tần số quét 90Hz, 391 PPI",2 nhân 2.2 GHz & 6 nhân 2.0 GHz,8 GB,5000mAh,,
OPPO A6t 6GB 256GB,7.290.000đ,https://cellphones.com.vn/dien-thoai-oppo-a6t-6gb-256gb.html,6.75 inches,LCD,"13MP + QVGA, f/2.2 + f/3.0","5MP, f/2.2",Qualcomm Snapdragon 685,Có,256 GB,2 Nano-SIM,"ColorOS 15, nền tảng Android 15",,"Kính cường lực Panda, Độ sáng: 1125 nits, 16.7 triệu màu","Qualcomm Snapdragon 685, tối đa 2.8GHz",6 GB,6100mAh,,
OPPO A6t 4GB 128GB,5.290.000đ,https://cellphones.com.vn/dien-thoai-oppo-a6t-4gb-128gb.html,6.75 inches,LCD,"13MP + QVGA, f/2.2 + f/3.0","5MP, f/2.2",Qualcomm Snapdragon 685,Có,128 GB,2 Nano-SIM,"ColorOS 15, nền tảng Android 15",,"Kính cường lực Panda, Độ sáng: 1125 nits, 16.7 triệu màu","Qualcomm Snapdragon 685, tối đa 2.8GHz",4 GB,6100mAh,,
OPPO A6t 4GB 64GB,4.390.000đ,https://cellphones.com.vn/dien-thoai-oppo-a6t.html,6.75 inches,LCD,"13MP + QVGA, f/2.2 + f/3.0","5MP, f/2.2",Qualcomm Snapdragon 685,Có,64 GB,2 Nano-SIM,"ColorOS 15, nền tảng Android 15",,"Kính cường lực Panda, Độ sáng: 1125 nits, 16.7 triệu màu","Qualcomm Snapdragon 685, tối đa 2.8GHz",4 GB,6100mAh,,
Samsung Galaxy S26 12GB 512GB,26.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-12gb-512gb.html,6.3 inches,Dynamic AMOLED 2X,Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP,12MP,Exynos 2600 (2nm),Có,512 GB,2 Nano-SIM + eSIM,,2340 x 1080-pixel,Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,12 GB,4300 mAh,,
Điện thoại Meizu Mblu 21 6GB 128GB,2.690.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-21-128gb.html,6.79 inches,,13MP0.08 MP,8 MP,Spreadtrum T606,Không,128 GB,2 Nano-SIM,Android 14,,,,6 GB,4900mAh,,
Nothing Phone 2A 5G 12GB 256GB,8.490.000đ,https://cellphones.com.vn/dien-thoai-nothing-phone-2a-12gb-256gb.html,6.7 inches,Flexible AMOLED On-cell,"50 MP, f/1.88, 1/1.56"" 50 MP, f/2.2, 1/2.76"", 114° FOV","32 MP, f/2.2, 1/2.74""",MediaTek Dimensity 7200 Pro (4nm TSMC process),Có,256 GB,2 SIM (Nano-SIM),Android 14,1080 x 2412 pixels,"Corning® Gorilla® Glass 5Tỷ lệ tương phản: 1,000,000:1394 PPI1300 nits120 Hz",Up to 2.8 GHz,12 GB,5000 mAh,,
Điện thoại Meizu Mblu 22 Pro NFC 4GB 128GB,2.690.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-22-pro.html,6.79 inches,TFT LCD,"50 MP, AF f/1.8Camera macro: 2 MP,  f/2.4","8 MP, f/2.0",MediaTek Helio G81,Có,128 GB,2 Nano-SIM,Android 15,720 x 1640 pixels,,Octa-core,4 GB,5000 mAh,,
Samsung Galaxy S25 Plus 512GB,25.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-plus-512gb.html,6.7 inches,Dynamic AMOLED 2X,Camera siêu rộng 12MP  Camera góc rộng 50MPCamera Tele 10MP,12MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,512 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,"Tốc độ CPU: 4.47GHz, 3.5GHz  8 nhân",12 GB,4900 mAh,,
Samsung Galaxy S25 Edge 5G 12GB 256GB,20.450.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-edge.html,6.7 inches,Dynamic AMOLED 2X,200.0 MP + 12.0 MP,12.0 MP,,Có,256 GB,Nano SIM hoặc eSIM,Android,3120 x 1440 pixels (Quad HD+),Độ sâu màu sắc 16M,8 nhân,12 GB,3900 mAh,"Galaxy Ring, Galaxy Buds, Galaxy Fit, Galaxy Watch, Samsung DeX, SmartThings, Smart Switch (PC version)",
Tecno Pova 7 8GB 256GB,4.990.000đ,https://cellphones.com.vn/dien-thoai-tecno-pova-7-256gb.html,6.78 inches,IPS LCD,108M+2M,8MP,MediaTek Helio G100 Utimate,Có,256 GB,2 Nano-SIM,Android 15,1080x2460 pixels,"Tần số quét 120Hz, FHD+, Độ sáng tối đa 900nits","2*A76 up to 2.2Ghz, 6*A55 up to 2.0Ghz",8 GB,7000mAh,,
Nubia V80 Design 4GB 128GB,3.490.000đ,https://cellphones.com.vn/dien-thoai-nubia-v80-design-4gb-128gb.html,6.75 inches,IPS LCD,50 MP + 2 MP + 0.08 MP,16 MP,Unisoc T7280,Có,128 GB,2 Nano-SIM,Android 16,,Tần số quét 120Hz,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),4 GB,5000 mAh,,
Itel RS4 8GB 128GB NFC,2.990.000đ,https://cellphones.com.vn/dien-thoai-itel-rs4-128gb.html,6.56 inches,IPS LCD,"Camera góc rộng: 50 MP, f/1.6, AF",8 MP,Mediatek Helio G99 Ultimate,Có,128 GB,2 Nano-SIM,Android 13,720 x 1612 (HD+),Tần số quét 120HzTỷ lệ 20:9 (mật độ ~ 269 ppi),2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,8 GB,"5,000 mAh",,
HONOR X7d 5G 8GB 256GB,7.290.000đ,https://cellphones.com.vn/dien-thoai-honor-x7d-5g-8gb-256gb.html,6.77 inches,TFT LCD,Camera chính 50MP (f/1.8)Camera độ sâu 2MP (f/2.4),5 MP (khẩu độ f/2.2),Qualcomm Snapdragon 6s Gen 3,Có,256 GB,2 Nano-SIM,MagicOS 9.0 (Dựa trên Android 15),1612 × 720 pixel,"Độ sáng: 850 nit (HBM), 700 nit (Typical)Màu sắc: 16,7 triệu màu, 85% NTSCChế độ bảo vệ mắt/Dynamic Dimming","8 nhân: 2xA78@2.3GHz, 6xA55@2.0GHz",8 GB,6500 mAh,,
TECNO CAMON 40 8GB 256GB,5.290.000đ,https://cellphones.com.vn/dien-thoai-tecno-camon-40-8gb-256gb.html,6.78 inches,AMOLED,"50MP, ƒ/1.8Góc siêu rộng 8MP",32MP,Mediatek Helio G100 Ultimate,Có,256 GB,2 Nano-SIM,Android 15,,Màn hình phẳngFHD+Tần số quét 120HzĐộ sáng màn hình 1300 nitsHDR,,8 GB,5200 mAh,,
Nokia HMD 105 4G,690.000đ,https://cellphones.com.vn/nokia-hmd-105-4g.html,2.4 inches,,,,Unisoc 8910  & T127,,128 MB,,,,QVGA,,,1450 mAh,,
HONOR X6c 6GB 128GB,4.090.000đ,https://cellphones.com.vn/dien-thoai-honor-x6c.html,6.6 inches,TFT LCD,Camera chính 50MP (F1.8) + Cảm biến chiều sâu,5MP  (F2.2),MediaTek Helio G81 Ultra,Có,128 GB,2 SIM (Nano-SIM),MagicOS 9.0 (Trên nền tảng Android 15）,720 x 1604 (HD+),"16,7 triệu màuTFT LCDCử chỉ đa chạm, hỗ trợ tối đa 10 điểm chạm.",2xA75 *2.0Ghz + 6xA55 *1.7Ghz,6 GB,"5300mAh, 35W (11V/3.2A)",,
Nokia 220 4G,980.000đ,https://cellphones.com.vn/nokia-220-4g.html,2.8 inches,TFT LCD,,,Unisoc T107,,128 MB,2 Nano-SIM,S30+,,QVGA,,,1450 mAh,,
HONOR 400 5G 12GB 512GB,12.990.000đ,https://cellphones.com.vn/dien-thoai-honor-400-5g-12gb-512gb.html,6.55 inches,AMOLED,"Camera chính AI 200MP (f/1.9, OIS) + 12MP Camera Góc Siêu Rộng (f/2.2)",50MP (f/2.0),Snapdragon 7 Gen 3,Có,512 GB,2 Nano SIM hoặc 1 Nano + 1 eSIM,MagicOS 9.0 (Dựa trên Android 15),2736 × 1264 pixels,"1,07 tỷ màu",8 lõi,12 GB,"6000 mAh (Li-Po, công nghệ Pin Silicon-Carbon)",,
Điện thoại trẻ em Masstel Alfa 5,1.050.000đ,https://cellphones.com.vn/dien-thoai-masstel-alfa-5.html,3.5 inches,IPS LCD,,,ASR,,128 MB,Nano-SIM,,240 x 320 pixels,262K màu,,,1750 mAh,,
HONOR X7d 8GB 128GB,5.990.000đ,https://cellphones.com.vn/dien-thoai-honor-x7d-8gb-128gb.html,6.77 inches,TFT LCD,"108 MP, f/1.8 + 2MP","8MP, f/2.0",Qualcomm Snapdragon 685,,128 GB,2 Nano-SIM,"Android 15, MagicOS 9.0",,"Độ phân giải HD+ (720 × 1.610 px), 120 Hz, 850 nits","8 nhân: 4 × Cortex-A73 (2,8 GHz) + 4 × Cortex-A53 (1,9 GHz)",8 GB,6500 mAh,,
TECNO CAMON 30 8GB 256GB,4.590.000đ,https://cellphones.com.vn/tecno-camon-30.html,6.78 inches,AMOLED,"Camera kép:50 MP, ƒ/1.9 (Góc rộng), 1/1.57"" Kích thước cảm biến, chống rung quang học (OIS) + chống rung điện tử (EIS)2 MP (Chiều sâu)Đèn flash LED kép, Dải động cao (HDR), Toàn cảnhĐộ phân giải video: 1440p @ 30 fps, 1080p @ 30/60 fps","Camera đơn: 50 MP (Góc rộng), Tự động lấy nét (PDAF)Đèn flash LED képĐộ phân giải video: 1440p @ 30 fps, 1080p @ 30/60 fps",Helio G99 Ultimate(6nm),Có,256 GB,Nano-SIM,Android 14 (Upside Down Cake),1080 x 2436 pixels,Tần số quét 120Hz,"Lõi CPU: 8 lõiCông nghệ CPU: 6 nmTốc độ tối đa của CPU: 2.2 GHzKiến trúc CPU: 64-bitVi kiến trúc: 2x 2.2 GHz – Cortex-A76, 6x 2.0 GHz – Cortex-A55Loại bộ nhớ: LPDDR4X",8 GB,5000 mAh,,
TECNO Spark Go 2 4GB 64GB,2.490.000đ,https://cellphones.com.vn/dien-thoai-tecno-spark-go-2.html,6.67 inches,LCD,13 MP,8 MP,Unisoc T7250,Không,64 GB,2 SIM (Nano-SIM),Android 15 Go edition,720 x 1600 pixel,"Tần số quét 120Hz, độ sáng tối đa 720 nits",8 nhân,4 GB,5000mAh,,
Honor X5c Plus 4GB 64GB,3.090.000đ,https://cellphones.com.vn/dien-thoai-honor-x5c-plus.html,6.74 inches,TFT LCD,Camera chính 50MP (f/1.8) + QVGA 0.08MP,Camera 5 MP (khẩu độ f/2.2),MediaTek Helio G81,Có,64 GB,Nano-SIM,"Android 15, MagicOS 9",720 x 1600 pixel,"Tần số quét 90Hz, 16,7 triệu màu","8 nhân, 2*A75 2.0Ghz + 6*A55 1.7Ghz",4 GB,5130mAh (giá trị định mức)5260mAh (giá trị điển hình),,
Nubia V60 Design 6GB 256GB,2.690.000đ,https://cellphones.com.vn/dien-thoai-nubia-v60-design.html,6.6 inches,,50MP AI Camera 2MP FF+AI Camera,8MP FF,Unisoc T606,Không,256 GB,2 SIM (Nano-SIM),Android T,720 x 1612 (HD+),Tần số quét 90Hz,Octa-Core 1.6GHz,6 GB,5000mAh,,
HONOR Play 10 4GB 128GB,2.580.000đ,https://cellphones.com.vn/dien-thoai-honor-play-10-4gb-128gb.html,6.74 inches,TFT LCD,13 MP (Đèn Flash),5 MP,MediaTek Helio G81,,128 GB,2 Nano-SIM,Android 15,720 x 1600 pixel,"Tần số quét 90Hz16.7 triệu màu, 480 nitsHỗ trợ 10 điểm chạm cùng lúc",8 nhân,4 GB,5000mAh,,
Nokia 105 4G Pro,750.000đ,https://cellphones.com.vn/nokia-105-4g-pro.html,1.77 inches,IPS LCD,,,Unisoc T107,,128 MB,2 SIM (Nano-SIM),,,,,,1450mAh,,
Điện thoại Meizu Mblu 21 4GB 64GB,2.290.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-21.html,6.79 inches,,13MP0.08 MP,8 MP,Spreadtrum T606,Không,64 GB,2 Nano-SIM,Android 14,,,,4 GB,4900mAh,,
Masstel Izi 15 4G,420.000đ,https://cellphones.com.vn/masstel-izi-15.html,1.77 inches,,,,Unisoc UMS9117,,,2 SIM (Nano-SIM),,,QQVGA,,,1000 mAh,,
Nokia 3210 4G,1.450.000đ,https://cellphones.com.vn/nokia-3210-4g.html,2.4 inches,,2MP,,Unisoc T107,,128 MB,2 Nano-SIM,,,QVGA,,,1450 mAh,,
Masstel Fami 8 4G,580.000đ,https://cellphones.com.vn/dien-thoai-masstel-fami-8.html,1.77 inches,,,,UNISOC T107,,128 MB,2 Nano-SIM,,128 x 160 pixels,Công nghệ màn hình: QQVGA262K màu,,,1400 mAh,,
Honor X5c Plus 4GB 128GB,3.390.000đ,https://cellphones.com.vn/dien-thoai-honor-x5c-plus-4gb-128gb.html,6.74 inches,TFT LCD,Camera chính 50MP (f/1.8) + QVGA 0.08MP,Camera 5 MP (khẩu độ f/2.2),MediaTek Helio G81,Có,128 GB,Nano-SIM,"Android 15, MagicOS 9",720 x 1600 pixel,"Tần số quét 90Hz, 16,7 triệu màu","8 nhân, 2*A75 2.0Ghz + 6*A55 1.7Ghz",4 GB,5130mAh (giá trị định mức)5260mAh (giá trị điển hình),,
OPPO A18 4GB 64GB,2.890.000đ,https://cellphones.com.vn/dien-thoai-oppo-a18-4gb-64gb.html,6.56 inches,IPS LCD,Chính 8 MP & Phụ 2 MP,5 MP,MediaTek Helio G85 8 nhân,Không,64 GB,2 SIM (Nano-SIM),Android 13,720 x 1612 (HD+),Tần số quét 90 HzĐộ sáng tối đa: 720 nitsMặt kính cảm ứng:  Kính cường lực Panda,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,4 GB,"5,000mAh",,
Viettel T2 4G,530.000đ,https://cellphones.com.vn/dien-thoai-viettel-t2-4g.html,2.4 inches,,0.08MP,,T107,,128 MB,,Mocor(RTOS),,2.4'' QVGA TN,,48MB,1400 mAh,,
Nokia 110 4G Pro,820.000đ,https://cellphones.com.vn/nokia-110-4g-pro.html,1.77 inches,IPS LCD,QVGA,,Unisoc T107,,128 MB,2 SIM (Nano-SIM),S30+,,,,,1450mAh,,
OPPO Reno8 5G (8GB 256GB),13.990.000đ,https://cellphones.com.vn/oppo-reno-8-5g.html,6.4 inches,AMOLED,"Camera chính: 50 MP, f/1.8  Camera phụ: 8 MP f/2.4  Camera Marco: 2 MP f/2.2","32 MP, f/2.4",MediaTek Dimensity 1300 8 nhân,Có,256 GB,2 SIM (Nano-SIM),Android 12,1080 x 2400 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass 5Tần số quét 90 Hz600 nits, 16.7 triệu màu, 409 PPI",8 nhân với độ mượt tối đa đến 3.0 GHz (1 lõi siêu lớn + 3 lõi lớn + 4 lõi nhỏ),8 GB,Li-Po 4500 mAh,,
Masstel izi T5 plus 4G,530.000đ,https://cellphones.com.vn/dien-thoai-masstel-izi-t5-plus.html,2.4 inches,,,,UNISOC T107,,,2 SIM (Nano-SIM),,240 x 320 pixels,,,,2300 mAh,,
Masstel izi T8,530.000đ,https://cellphones.com.vn/dien-thoai-masstel-izi-t8.html,2.4 inches,,,,,,,2 Nano-SIM,,,Màu màn hình: 262KĐộ phân giải: QVGA 240*320,ASR3603S,,2300mAh,,
Masstel izi  22,470.000đ,https://cellphones.com.vn/dien-thoai-masstel-izi-22.html,1.77 inches,,,,ASR Platform,Không,,,,128 x 160 pixels,"262KHiển thị rõ ràng, phông chữ lớn, dễ đọc",,,1000 (thời gian chờ 7-10 ngày),,
Masstel Izi S8,485.000đ,https://cellphones.com.vn/dien-thoai-masstel-izi-s8.html,1.77 inches,TFT LCD,,,T107 (UMS9117),,,2 Nano-SIM,,,"Độ phân giải: QQVGA (128 × 160)Phông chữ to, dễ sử dụng",,,1400mAh,,
Masstel Fami 25,650.000đ,https://cellphones.com.vn/dien-thoai-masstel-fami-25.html,1.77 inches,TFT LCD,,,T107 (UMS9117),,128 MB,2 Nano-SIM,,,QQVGA (160 × 128),,48MB,1400 mAh,,
iPhone 14 Pro Max 128GB | Chính hãng VN/A,25.590.000đ,https://cellphones.com.vn/iphone-14-pro-max.html,6.7 inches,Super Retina XDR OLED,"Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS  Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF  Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom  Cảm biến độ sâu TOF 3D LiDAR","Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF",Apple A16 Bionic 6-core,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 16,2796 x 1290-pixel,"120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,6 GB,4.323 mAh,,
