name,price,link,Hệ điều hành,Chip xử lý (CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Dung lượng lưu trữ,Dung lượng còn lại (khả dụng) khoảng,Danh bạ,Độ phân giải camera sau,Quay phim camera sau,Đèn Flash camera sau,Tính năng camera sau,Độ phân giải camera trước,Tính năng camera trước,Công nghệ màn hình,Độ phân giải màn hình,Màn hình rộng,Độ sáng tối đa,Mặt kính cảm ứng,Dung lượng pin,Loại pin,Hỗ trợ sạc tối đa,Công nghệ pin,Bảo mật nâng cao,Tính năng đặc biệt,"Kháng nước, bụi",Ghi âm,Xem phim,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,"Kích thước, khối lượng",Thời điểm ra mắt,Hãng,description,brand,sku,mpn,price_json,currency,Sạc kèm theo máy,Nghe nhạc,Radio,Thẻ nhớ,Đèn pin
Điện thoại Nokia 105 4G Pro,690.000₫,https://www.thegioididong.com/dtdd/nokia-105-4g-pro,Series 30+,Unisoc T107 8 nhân,1.0 GHz,,48 MB,128 MB,33.1 MB,2000 số,,,,,,,IPS LCD,QQVGA (120 x 160 Pixels),"1.77""",,Kính thường,1450 mAh,Li-Ion,2.75 W,,,,,Ghi âm mặc định,AV1,Hỗ trợ 4G,2 Nano SIM,,,v5.0,Micro USB,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 121.5 mm - Ngang 50 mm - Dày 14.4 mm - Nặng 93 g,07/2023,Nokia. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Nokia 105 4G Pro chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Nokia'],311033,311033,690000.0,VND,2.75 W,WAV,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Xiaomi Redmi 15 8GB/128GB,4.690.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-8gb-128gb,Android 15,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,128 GB,115 GB,Không giới hạn,Chính 50 MP & Phụ QVGA,HD 720p@30fps,Có,Toàn cảnh (Panorama),8 MP,Xóa phông,IPS LCD,Full HD+ (1080 x 2340 Pixels),"6.9"" - Tần số quét 144 Hz",850 nits,Đang cập nhật,7000 mAh,Silicon-Carbon,33 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,,IP64,Ghi âm mặc định,Xvid,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,,Type-C,Type-C,OTG,Nguyên khối,Khung hợp kim nhôm & Mặt lưng nhựa,Dài 169.48 mm - Ngang 80.45 mm - Dày 8.4 mm - Nặng 214 g,08/2025,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua điện thoại Xiaomi Redmi 15 8GB/128GB giá rẻ, ưu đãi đến 300K, trả góp 0% lãi suất, bảo hành 18 tháng, giảm 100K cho HSSV/Tài xế công nghệ. Mua ngay!",['Xiaomi'],341274,341274,4690000.0,VND,33 W,XMF,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại Masstel IZI T6 4G,520.000₫,https://www.thegioididong.com/dtdd/masstel-izi-t6,,Unisoc T107,1.0 GHz,,48 MB,128 MB,,2000 số,,,,,,,TFT LCD,QVGA (240 x 320 Pixels),"2.4""",,Không có cảm ứng,1800 mAh,Li-Ion,2.5 W,,,,,Ghi âm mặc định,AV1,Hỗ trợ 4G,2 Nano SIM,,,v2.1,Type-C,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 130.7 mm - Ngang 54.2 mm - Dày 15 mm - Nặng 112 g,04/2024,Masstel. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Masstel IZI T6 4G chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Masstel'],322877,322877,520000.0,VND,2.5 W,WAV,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại vivo Y31d 6GB/128GB,7.690.000₫,https://www.thegioididong.com/dtdd/vivo-y31d-6gb-128gb,Android 16,Snapdragon 6s Gen 2 4G 8 nhân,"4 nhân 2.9 GHz, 4 nhân 1.9 GHz",Mali-G57,6 GB,128 GB,99.91 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,,Có,Trôi nhanh thời gian (Time Lapse),8 MP,Video hiển thị kép,LCD,HD+ (720 x 1570 Pixels),"6.75"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1250 nits,Kính cường lực AGC DT-Star2 Plus,7200mAh,Li-Ion,44 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),"IP68, IP69, IP69+",Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Dual-band (2.4 GHz/5 GHz),QZSS,v5.1,Type-C,,OTG,Nguyên khối,Khung & Mặt lưng Polymer,"Dài 166.64 mm - Ngang 78.43 mm - Dày 8.39 (Xám Đen), 8.49 (Trắng) - Nặng 219 g",01/2026,vivo. <span class='parameter__manu'>Xem thông tin hãng</span>,"vivo Y31d 6GB/128GB giá tốt, tặng loa Bluetooth EP-Windy hoặc ưu đãi đến 500K, sắm Tết sớm giảm thêm 5%, trả chậm 0% lãi suất - trả trước 0đ, BH 24 tháng. Mua ngay!",['vivo'],360671,360671,8090000.0,VND,44 W,WAV,,,
Điện thoại Nokia 220 4G,980.000₫,https://www.thegioididong.com/dtdd/nokia-220-4g,S30+,Unisoc T107 8 nhân,1.0 GHz,,64 MB,128 MB,,Không giới hạn,,,,,,,,QVGA (240 x 320 Pixels),"2.8""",,Không có cảm ứng,1450 mAh,Li-Ion,Hãng không công bố,,,,,Ghi âm cuộc gọi,,Hỗ trợ 4G,2 Nano SIM,,,v5.0,Type-C,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 127 mm - Ngang 54.2 mm - Dày 11.63 mm - Nặng 98 g,06/2024,Nokia. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Nokia 220 4G chính hãng là dòng phổ thông nghe gọi 2 sim, giá rẻ. Xem thêm thông tin ra mắt, cấu hình và đánh giá chi tiết ngay tại đây.",['Nokia'],207956,207956,980000.0,VND,Hãng không công bố,MP3,Có,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Nokia HMD 105 4G,640.000₫,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,,,,,,128 MB,33 MB,Hãng không công bố,,,,,,,Hãng không công bố,QQVGA (120 x 160 Pixels),"2.4""",,Không có cảm ứng,1450 mAh,Li-Ion,Hãng không công bố,,,,,,Có,Hỗ trợ 4G,2 Nano SIM,,,v5.0,Type-C,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 126.07 mm - Ngang 50.5 mm - Dày 13.9 mm - Nặng 88 g,09/2024,Nokia. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Nokia HMD 105 4G chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Nokia'],329676,329676,640000.0,VND,Hãng không công bố,MP3,Có,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Mobell M179,410.000₫,https://www.thegioididong.com/dtdd/mobell-m179,Mocor (RTOS),UMS8910S,1 nhân 500 MHz,,16 MB,16 MB,29 KB,200 số,,,,,,,TFT LCD,QQVGA (128 x 160 Pixels),"1.77""",Hãng không công bố,Kính thường,1000 mAh,Li-Ion,2.5 W,Tiết kiệm pin,,,,Ghi âm cuộc gọi,MP4,Hỗ trợ 4G,2 Nano SIM,,,v5.0,Type-C,,,Pin rời,Khung & Mặt lưng nhựa,Dài 120 mm - Ngang 50.7 mm - Dày 12.5 mm - Nặng 75.5 g,09/2025,Mobell. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Mobell M179 chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Mobell'],354325,354325,410000.0,VND,2.5 W,MP3,Có,"MicroSD, hỗ trợ tối đa 64 GB",Có
Điện thoại Masstel IZI 10 4G Type-C,400.000₫,https://www.thegioididong.com/dtdd/masstel-izi-10-type-c,,Unisoc UMS9117,,,48 MB,128 MB,,2000 số,,,,,,,TFT LCD,QQVGA (128 x 160 Pixels),"1.77""",,Không có cảm ứng,1000 mAh,Li-Ion,,,,,,Ghi âm mặc định,MP4,Hỗ trợ 4G VoLTE,2 Nano SIM,,,v4.2,Type-C,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 121 mm - Ngang 50 mm - Dày 12.8 mm - Nặng 75 g,08/2025,Masstel. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Masstel IZI 10 4G Type-C chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Masstel'],342939,342939,400000.0,VND,2.5 W,WAV,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Xiaomi 15T 5G 12GB/256GB,12.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb,Android 15,MediaTek Dimensity 8400-Ultra 8 nhân,3.25 GHz,Mali-G720,12 GB,256 GB,243 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 12 MP",FullHD 1080p@120fps,Có,Xóa phông,32 MP,Xóa phông,Super AMOLED,1.5K (1280 x 2772 Pixels),"6.83"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3200 nits,Kính cường lực Corning Gorilla Glass 7i,5500 mAh,Li-Po,67 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Âm thanh Hi-Res Audio,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung nhựa & Mặt lưng sợi thuỷ tinh,Dài 163.2 mm - Ngang 78 mm - Dày 7.5 mm - Nặng 194 g,09/2025,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Xiaomi 15T 5G 12GB/256GB giá tốt, tặng gói bảo hiểm rơi vỡ màn hình 6 tháng, thu cũ giảm đến 2.5 triệu, bảo hành 24 tháng, trả chậm 0% lãi suất. Mua ngay!",['Xiaomi'],344644,344644,13990000.0,VND,67 W,OGG,Có,,
Điện thoại Masstel Fami 50 4G,620.000₫,https://www.thegioididong.com/dtdd/masstel-fami-50,,Unisoc T107,1.0 GHz,,48 MB,128 MB,,2000 số,,,,,,,TFT LCD,QQVGA (128 x 160 Pixels),"2""",,Không có cảm ứng,1750 mAh,Li-Ion,2.5 W,,,,,Ghi âm mặc định,AV1,Hỗ trợ 4G,2 Nano SIM,,,v2.1,Type-C,,,Pin rời,Khung & Mặt lưng nhựa,Dài 126 mm - Ngang 57 mm - Dày 15.2 mm - Nặng 141 g,04/2024,Masstel. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Masstel Fami 50 4G chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Masstel'],323546,323546,620000.0,VND,2.5 W,WAV,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Nokia 110 4G Pro,780.000₫,https://www.thegioididong.com/dtdd/nokia-110-4g-pro,Series 30+,Unisoc T107 8 nhân,1.0 GHz,,48 MB,128 MB,33.1 MB,2000 số,QVGA (320 x 240 pixels),,,,,,IPS LCD,QQVGA (120 x 160 Pixels),"1.77""",,Kính thường,1450 mAh,Li-Ion,5 W,,,,,Ghi âm mặc định,AV1,Hỗ trợ 4G VoLTE,2 Nano SIM,,,v5.0,Micro USB,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 121.5 mm - Ngang 50 mm - Dày 14.4 mm - Nặng 93 g,07/2023,Nokia. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Nokia 110 4G Pro chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Nokia'],311034,311034,780000.0,VND,2.75 W,WAV,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Xiaomi Redmi 15 5G 4GB/128GB,5.190.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-5g-4gb-128gb,Android 15 (Trên nền tảng Xiaomi Hyper OS 2.0),Snapdragon 6s Gen 3 8 nhân,2.3 GHz,Adreno 619,4 GB,128 GB,115 GB,Không giới hạn,Chính 50 MP & Phụ 0.08 MP,HD 720p@30fps,Có,Trôi nhanh thời gian (Time Lapse),8 MP,Trôi nhanh thời gian (Time Lapse),LCD,Full HD+ (1080 x 2340 Pixels),"6.9"" - Tần số quét 144 Hz",850 nits,Kính cường lực Corning Gorilla Glass 3,7000 mAh,Silicon-Carbon,33 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Âm thanh Hi-Res Audio,IP64,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 thẻ nhớ,Dual-band (2.4 GHz/5 GHz),GPS,v5.1,Type-C,,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 169.48 mm - Ngang 80.45 mm - Dày 8.4 mm - Nặng 214 g,12/2025,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Xiaomi Redmi 15 5G 4GB/128GB giá tốt, nhận ưu đãi từ 300K, bảo hành 18 tháng, trả chậm 0% lãi suất, giảm thêm 100K cho HSSV - GV/Tài Xế Công Nghệ. Mua ngay đến 31/1!",['Xiaomi'],359776,359776,5190000.0,VND,33 W,OGG,Có,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại OPPO A5x 4GB/64GB,3.630.000₫,https://www.thegioididong.com/dtdd/oppo-a5x-4gb-64gb,Android 15,Snapdragon 6s Gen 1 8 nhân,2.1 GHz,Adreno 610,4 GB,64 GB,44 GB,Không giới hạn,Chính 32 MP & Phụ cảm biến IR,HD 720p@30fps,Có,Xóa phông,5 MP,Xóa phông,IPS LCD,HD+ (720 x 1604 Pixels),"6.67"" - Tần số quét 90 Hz",1000 nits,Kính cường lực AGC DT-Star D+ hoặc Corning Gorilla Glass 7i (tuỳ lô hàng),6000 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),IP65,Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Wi-Fi hotspot,QZSS,v5.0,Type-C,3.5 mm,OTG,Nguyên khối,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,Dài 165.71 mm - Ngang 76.24 mm - Dày 7.99 mm - Nặng 193 g,06/2025,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"OPPO A5x 4GB/64GB chính hãng, giá rẻ, giảm ngay 200K hoặc nhận PMH 250K, trả chậm 0% lãi suất - trả trước 0đ, bảo hành 1 năm, 1 đổi 1 trong 30 ngày. Mua ngay!",['OPPO'],337846,337846,3630000.0,VND,45 W,OGG,,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Xiaomi Redmi A5 3GB/64GB,2.440.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-3gb-64gb,Android 15,Unisoc T7250 8 nhân,2 nhân 1.8 GHz & 6 nhân 1.6 GHz,Mali-G57,3 GB,64 GB,50 GB,Không giới hạn,Chính 32 MP & Phụ QVGA,HD 720p@30fps,Có,Xóa phông,8 MP,Xóa phông,IPS LCD,HD+ (720 x 1640 Pixels),"6.88 "" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",450 nits,Hãng không công bố,5200 mAh,Li-Po,15 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.2,Type-C,3.5 mm,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 171.7 mm - Ngang 77.8 mm - Dày 8.26 mm - Nặng 193 g,04/2025,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Xiaomi Redmi A5 3GB/64GB chính hãng, giá rẻ, giảm ngay 200K, tặng phiếu mua hàng Xiaomi Redmi Watch 5 trị giá 800K, bảo hành 18 tháng. Mua ngay!",['Xiaomi'],335917,335917,2440000.0,VND,18 W,WAV,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại OPPO A5 8GB/128GB,6.290.000₫,https://www.thegioididong.com/dtdd/oppo-a5-8gb-128gb,Android 15,Snapdragon 6s Gen 1 8 nhân,2.1 GHz,Adreno 610,8 GB,128 GB,103 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,HD 720p@30fps,Có,Xóa phông,5 MP,Xóa phông,IPS LCD,HD+ (720 x 1604 Pixels),"6.67"" - Tần số quét 90 Hz",1000 nits,Kính cường lực AGC DT-Star D+ hoặc Corning Gorilla Glass 7i (tuỳ lô hàng),6000 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),IP65,Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Wi-Fi hotspot,QZSS,v5.0,Type-C,3.5 mm,OTG,Nguyên khối,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,Dài 165.71 mm - Ngang 76.24 mm - Dày 7.99 mm - Nặng 193 g,08/2025,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại OPPO A5 8GB/128GB giá tốt, chính hãng, mua trả chậm 0% lãi suất, tặng phiếu mua hàng trị giá 300K, 1 đổi 1 trong 30 ngày, bảo hành 1 năm. Mua ngay!",['OPPO'],341378,341378,6290000.0,VND,45 W,OGG,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Mobell M331 4G,540.000₫,https://www.thegioididong.com/dtdd/mobell-m331,,Unisoc T107,1.0 GHz,,16 MB,16 MB,29 KB,200 số,0.08 MP,,,,,,TFT LCD,QVGA (240 x 320 Pixels),"2.4""",,Kính thường,1000 mAh,Li-Ion,2.5 W,,,,,Ghi âm mặc định,3GP,Hỗ trợ 4G VoLTE,2 Nano SIM,,,Có,Type-C,,,Pin rời,Khung & Mặt lưng nhựa,Dài 124.6 mm - Ngang 51 mm - Dày 14 mm - Nặng 65 g,09/2023,Mobell. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Mobell M331 4G chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Mobell'],314697,314697,540000.0,VND,2.5 W,MP3,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 64 GB",Có
Điện thoại Mobell M539,690.000₫,https://www.thegioididong.com/dtdd/mobell-m539,,Unisoc T107,1.0 GHz,,16 MB,16 MB,29 KB,200 số,0.08 MP,Có quay phim,,,,,TFT LCD,QVGA (240 x 320 Pixels),"2.8""",,Không có cảm ứng,2000 mAh,Li-Ion,2.5 W,,,,,Ghi âm mặc định,3GP,Hỗ trợ 4G VoLTE,2 Nano SIM,,,v5.0,Type-C,Type-C,,Pin rời,Khung & Mặt lưng nhựa,Dài 130 mm - Ngang 55.5 mm - Dày 12.5 mm - Nặng 130 g,09/2022,Mobell. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Mobell M539 chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Mobell'],288630,288630,690000.0,VND,2.5 W,MP3,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 64 GB",Có
Điện thoại Samsung Galaxy A07 5G 4GB/128GB,4.390.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a07-5g-4gb-128gb,Android 16,MediaTek Dimensity 6300 5G 8 nhân,2 nhân 2.2 GHz & 6 nhân 2.0 GHz,Mali-G57,4 GB,128 GB,109 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,HD 720p@120fps,Có,Zoom kỹ thuật số,8 MP,Xóa phông,PLS LCD,HD+ (720 x 1600 Pixels),"6.74"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",800 nits,Kính cường lực,6000 mAh,Li-Ion,25 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Dual Messenger),IP54,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi Direct,QZSS,v5.3,Type-C,3.5 mm,,Nguyên khối,Khung nhựa & Mặt lưng sợi thủy tinh,Dài 167.4 mm - Ngang 77.4 mm - Dày 8.2 mm - Nặng 195 g,01/2026,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy A07 5G 4GB/128GB giá tốt, tặng sạc 25W, trả chậm 0% lãi suất -  trả trước 0đ, giảm đến 30% cho gói Samsung Care+ khi mua kèm. Mua ngay đến 28/2!",['Samsung'],361709,361709,4390000.0,VND,,XMF,Có,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại Tecno Spark Go 2 3GB/64GB,1.990.000₫,https://www.thegioididong.com/dtdd/tecno-spark-go-2,Android 15 Go,Unisoc T7250 8 nhân,2 nhân 1.8 GHz & 6 nhân 1.6 GHz,Mali-G57,3 GB,64 GB,45 GB,Không giới hạn,13 MP,FullHD 1080p@30fps,Có,Xóa phông,8 MP,Xóa phông,IPS LCD,HD+ (720 x 1600 Pixels),"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",720 nits,Hãng không công bố,5000 mAh,Li-Po,15 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Âm thanh DTS (DTS Studio Sound),IP64,Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.2,Type-C,3.5 mm,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 165.6 mm - Ngang 77 mm - Dày 8.25 mm - Nặng 185 g,08/2025,,"Điện thoại Tecno Spark Go 2 3GB/64GB giá rẻ với 2.190.000, giảm ngay 200K hoặc tặng phiếu mua hàng trị giá 250K, hư gì đổi nấy 12 tháng, trả chậm 0% lãi suất. Mua ngay!",['Tecno'],341837,341837,1990000.0,VND,10 W,WAV,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại realme C75x 8GB/128GB,4.200.000₫,https://www.thegioididong.com/dtdd/realme-c75x?utm_flashsale=1,Android 15,MediaTek Helio G81-Ultra 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.7 GHz,Mali-G52,8 GB,128 GB,105 GB,Không giới hạn,Chính 50 MP & Cảm biến Flicker,HD 720p@30fps,Có,Xóa phông,5 MP,Xóa phông,IPS LCD,HD+ (720 x 1604 Pixels),"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",625 nits,Kính cường lực ArmorShell,5600 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM,Wi-Fi 5,QZSS,v5.0,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 165.69 mm - Ngang 76.22 mm - Dày 7.99 mm - Nặng 196 g,04/2025,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại realme C75x 8GB/128GB chính hãng, giá rẻ, giảm đến 300K, trả chậm 0% lãi suất, 1 đổi 1 trong 30 ngày, tặng thêm 6 tháng bảo hành mở rộng. Mua ngay!",['realme'],335307,335307,4200000.0,VND,45 W,WMA,,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại Xiaomi 15T 5G 12GB/512GB,13.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-512gb-xam,Android 15,MediaTek Dimensity 8400-Ultra 8 nhân,3.25 GHz,Mali-G720,12 GB,512 GB,499 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 12 MP",FullHD 1080p@120fps,Có,Xóa phông,32 MP,Xóa phông,Super AMOLED,1.5K (1280 x 2772 Pixels),"6.83"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3200 nits,Kính cường lực Corning Gorilla Glass 7i,5500 mAh,Li-Po,67 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Âm thanh Hi-Res Audio,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung nhựa & Mặt lưng sợi thuỷ tinh,Dài 163.2 mm - Ngang 78 mm - Dày 7.5 mm - Nặng 194 g,09/2025,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Xiaomi 15T 5G 12GB/512GB Xám giá tốt, thu cũ giảm đến 2.5 triệu, trả chậm 0% lãi suất, tặng loa Xiaomi Sound Party, bảo hành 24 tháng. Mua ngay đến 31/10!",['Xiaomi'],344645,344645,13990000.0,VND,67 W,OGG,Có,,
